,parcel_number,address,finsqft,use,year_built,transfer_date,amount,total_rooms,bedrooms,full_baths,half_baths,conveyance_number,deed_type,num_parcels_sold,acreage,annual_tax,effective_tax_rate,school_district,appraisal_area,board_of_revision,rental_registration,homestead,owner_occupancy_credit,foreclosure,special_assessments,market_land_value,cauv_value,market_improvement_value,market_total_value,tif_value,abated_value,exempt_value,taxes_paid
12,003-0002-0054-00,6009 WAYSIDE AVE,926,510,1928,05-12-2009,"$105,000",5,2,1,1,311262,WD - Warranty Deed (Conv),1,0.261,"$4,280.16",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,26840,0,173160,200000,0,0,0,"$4,280.16"
13,003-0002-0113-00,2111 D SUTTON AVE,1242,550,1969,07-01-2009,"$113,000",5,2,2,0,24341,WD - Warranty Deed (Conv),1,0.000,"$2,530.49",69.301606,CINCINNATI CSD,00109 - ABBEY CONDO,No,No,No,No,No,Yes,16500,0,97600,114100,0,0,0,"$2,530.49"
14,003-0003-0214-00,2454 CARDINAL HILL CT,895,555,1995,05-26-2009,"$154,000",4,2,1,0,262865,SV - Survivorship Deed (Conv),1,0.033,"$3,901.78",69.301606,CINCINNATI CSD,00102 - RESERVES OF TURPIN LANDO,No,No,No,Yes,No,No,40000,0,143000,183000,0,0,0,"$3,901.78"
15,003-0003-0229-00,2432 COVEYRUN SOUTH,1188,555,1996,02-13-2009,"$150,000",5,2,2,0,350559,WD - Warranty Deed (Conv),1,0.041,"$5,808.54",69.301606,CINCINNATI CSD,00102 - RESERVES OF TURPIN LANDO,YES(10),No,No,Yes,No,No,40000,0,232430,272430,0,0,0,"$5,808.54"
16,003-0004-0136-00,1650 LONGBOURNE ST,1142,510,1947,07-08-2009,"$148,000",5,3,1,1,342047,WD - Warranty Deed (Conv),1,0.199,"$4,027.43",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,25180,0,162980,188160,0,0,0,"$4,027.43"
17,003-0004-0160-00,6002 STANHILL CT,1041,510,1934,06-03-2009,"$117,000",6,2,1,1,264274,WD - Warranty Deed (Conv),1,0.162,"$3,530.87",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,22550,0,140450,163000,0,0,0,"$3,530.87"
18,003-0005-0086-00,2608 BONNIE DR,944,510,1952,05-05-2009,"$134,500",7,3,1,0,21744,WD - Warranty Deed (Conv),1,0.153,"$3,662.51",69.301606,CINCINNATI CSD,00121 - MT WASHINGTON 21,No,No,No,Yes,No,Yes,28840,0,142070,170910,0,0,0,"$3,662.51"
19,003-0005-0211-00,5457 HANOVER CR,1096,555,1990,05-01-2009,"$133,500",5,2,2,1,21580,WD - Warranty Deed (Conv),1,0.050,"$3,407.76",69.301606,CINCINNATI CSD,00114 - HANOVER CIRCLE LANDO,No,No,No,Yes,No,No,24000,0,135820,159820,0,0,0,"$3,407.76"
30,004-0004-0051-00,1221 WAYSIDE PL,984,510,1954,07-06-2009,"$114,000",4,2,1,1,24555,WD - Warranty Deed (Conv),1,0.118,"$3,006.12",69.301606,CINCINNATI CSD,00116 - MT WASHINGTON 16,No,No,No,Yes,No,Yes,26590,0,113630,140220,0,0,0,"$3,006.12"
31,004-0004-0311-00,6030 TRIDALE CT,1189,510,1968,06-04-2009,"$118,400",6,3,1,1,192572,QE - Quit Claim Deed (EX),1,0.235,"$3,855.56",69.301606,CINCINNATI CSD,00116 - MT WASHINGTON 16,No,No,No,Yes,No,Yes,40050,0,139770,179820,0,0,0,"$3,855.56"
32,005-0002-0037-00,275 SUTTON RD,1170,510,1956,03-27-2009,"$100,000",5,2,1,1,108249,WD - Warranty Deed (Conv),1,0.661,"$4,119.98",69.301606,CINCINNATI CSD,00200 - CALIFORNIA,No,No,No,Yes,No,Yes,26130,0,165750,191880,0,0,0,"$4,119.98"
33,008-0002-0151-00,5921 LINNEMAN ST,870,510,1960,07-23-2009,"$108,250",5,2,1,0,25480,WD - Warranty Deed (Conv),1,0.545,"$3,093.67",69.301606,CINCINNATI CSD,00200 - CALIFORNIA,YES(15),No,No,Yes,No,Yes,22940,0,116150,139090,0,0,0,"$3,093.67"
34,019-0002-0024-00,1194 HERSCHEL AVE,1222,510,1929,07-17-2009,"$230,000",5,2,1,0,241140,WD - Warranty Deed (Conv),1,0.169,"$7,160.95",69.301606,CINCINNATI CSD,00600 - MT LOOKOUT,No,No,No,Yes,No,Yes,144010,0,190890,334900,0,0,0,"$7,160.95"
35,019-0003-0066-00,4805 BEVERLY HILL DR,1146,510,1954,07-10-2009,"$122,000",5,2,1,1,199690,WD - Warranty Deed (Conv),1,0.128,"$7,211.26",69.301606,CINCINNATI CSD,00602 - MT LOOKOUT 02,YES(10),No,No,No,No,Yes,179420,0,142660,322080,0,0,0,"$7,211.26"
36,020-0002-0037-00,5003 SHATTUC AVE,1285,510,1949,06-15-2009,"$222,000",7,3,2,0,183493,WD - Warranty Deed (Conv),1,0.166,"$5,763.44",69.301606,CINCINNATI CSD,00500 - LINWOOD,No,No,No,Yes,No,Yes,94030,0,175660,269690,0,0,0,"$5,763.44"
37,025-0003-0148-00,600 8 DELTA AVE,1194,550,1990,08-24-2009,"$185,500",5,2,2,1,242933,WD - Warranty Deed (Conv),1,0.000,"$4,665.65",69.301606,CINCINNATI CSD,00603 - LONGWORTH COURT CONDO,No,No,No,Yes,No,Yes,30000,0,188500,218500,0,0,0,"$4,665.65"
38,027-0003-0112-00,3823 STITES PL,1056,510,1922,05-26-2009,"$148,000",6,3,1,0,210320,WD - Warranty Deed (Conv),1,0.073,"$4,624.84",69.301606,CINCINNATI CSD,00421 - COLUMBIA TUSCULUM 21,YES(13),No,No,Yes,No,Yes,45990,0,170520,216510,0,0,0,"$4,624.84"
39,028-0006-0049-00,3573 HANDMAN AVE,1019,510,1951,07-13-2009,"$181,000",6,2,2,0,57405,WD - Warranty Deed (Conv),1,0.119,"$7,650.84",69.301606,CINCINNATI CSD,00405 - COLUMBIA TUSCULUM 05,YES(18),No,No,Yes,No,Yes,232310,0,122660,354970,0,0,0,"$7,650.84"
50,028-0006-0216-00,531 TUSCULUM AVE,1102,550,1880,04-14-2009,"$136,000",5,2,2,1,175814,WD - Warranty Deed (Conv),1,0.000,"$3,658.10",69.301606,CINCINNATI CSD,00402 - T-ROW CONDO,No,No,No,Yes,No,Yes,14400,0,157000,171400,0,0,0,"$3,658.10"
51,030-0001-0071-00,3206 WALWORTH AVE,1088,510,1895,06-30-2009,"$159,000",5,2,1,1,357522,SV - Survivorship Deed (Conv),1,0.072,"$3,570.86",69.301606,CINCINNATI CSD,00300 - EAST END,No,No,No,Yes,No,Yes,42500,0,124500,167000,26030,0,0,"$3,570.86"
52,032-0006-0167-00,2235 102 RIVERSIDE DR,1270,550,2002,05-12-2009,"$230,000",4,2,2,0,33860,WD - Warranty Deed (Conv),1,0.000,"$5,871.43",69.301606,CINCINNATI CSD,00305 - WATERFRONT EAST CONDO,No,No,No,Yes,No,Yes,50000,0,225260,275260,0,0,0,"$5,871.43"
53,033-0001-0129-00,2017 CALVIN CLIFF LN,1111,550,1973,08-19-2009,"$115,000",4,2,2,0,159160,WE - Warranty Deed (EX),1,0.000,"$2,479.61",69.301606,CINCINNATI CSD,00707 - CALVIN CLIFF CONDO,YES(21),No,No,Yes,No,Yes,15000,0,100950,115950,0,0,0,"$2,479.61"
54,036-0005-0072-00,4523 HECTOR AVE,1246,510,1922,05-08-2009,"$138,500",6,3,1,1,144550,WD - Warranty Deed (Conv),1,0.187,"$3,997.64",69.301606,CINCINNATI CSD,00800 - MADISONVILLE,No,No,No,Yes,No,Yes,48410,0,138340,186750,0,0,0,"$3,997.64"
55,037-0003-0267-00,6821 BUCKINGHAM PL,1277,510,1932,06-16-2009,"$117,500",5,3,1,1,23558,WD - Warranty Deed (Conv),1,0.103,"$3,450.98",69.301606,CINCINNATI CSD,00800 - MADISONVILLE,No,No,No,Yes,No,Yes,32240,0,129090,161330,0,0,0,"$3,450.98"
56,037-0003-0388-00,6828 HURD AVE,1074,510,1928,08-17-2009,"$119,500",6,3,1,0,363648,WD - Warranty Deed (Conv),1,0.100,"$3,051.12",69.301606,CINCINNATI CSD,00800 - MADISONVILLE,YES(06),No,No,No,No,Yes,32240,0,104990,137230,0,0,0,"$3,051.12"
57,037-0005-0151-00,6813 BRITTON AVE,1166,510,1951,07-06-2009,"$101,000",5,2,1,0,76882,WD - Warranty Deed (Conv),2,0.081,"$2,300.39",69.301606,CINCINNATI CSD,00800 - MADISONVILLE,YES(15),No,No,No,No,Yes,29480,0,73690,103170,0,0,0,"$2,300.39"
58,037-0005-0205-00,7053 PALMETTO ST,800,510,1941,04-14-2009,"$100,000",5,2,1,0,78200,WD - Warranty Deed (Conv),1,0.101,"$2,626.98",69.301606,CINCINNATI CSD,00800 - MADISONVILLE,No,No,No,Yes,No,Yes,32240,0,90470,122710,0,0,0,"$2,626.98"
59,038-0001-0029-00,3646 205 ASHWORTH DR,1248,550,1978,04-21-2009,"$207,000",5,2,2,0,328389,FD - Fiduciary Deed (Conv),1,0.000,"$4,999.81",69.301606,CINCINNATI CSD,00929 - ASHWORTH PHASE 1 CONDO,No,No,No,No,No,Yes,40500,0,185020,225520,0,0,0,"$4,999.81"
70,038-0002-0385-00,3687 D ASHWORTH DR,874,550,1962,04-03-2009,"$165,190",5,1,1,1,197958,WD - Warranty Deed (Conv),1,0.000,"$3,981.33",69.301606,CINCINNATI CSD,00927 - HYDE PARK PLACE CONDO,No,No,No,Yes,No,Yes,28600,0,157690,186290,0,0,0,"$3,981.33"
71,038-0003-0084-00,3652 HERSCHEL AVE,1292,550,1983,03-03-2009,"$290,000",5,2,2,2,19286,WD - Warranty Deed (Conv),1,0.000,"$6,491.88",69.301606,CINCINNATI CSD,00913 - GLOUCESTER SQAURE CONDO,YES(15),No,No,Yes,No,No,54000,0,250140,304140,0,0,0,"$6,491.88"
72,038-0A01-0011-00,3535 RAWSON PL,1172,510,1938,05-01-2009,"$146,900",6,2,1,1,169803,WD - Warranty Deed (Conv),1,0.106,"$5,060.44",69.301606,CINCINNATI CSD,01000 - OAKLEY,No,No,No,Yes,No,No,99450,0,137880,237330,0,0,0,"$5,060.44"
73,038-0A01-0022-00,3545 RAWSON PL,1104,510,1929,02-26-2009,"$172,500",6,3,1,0,349533,WD - Warranty Deed (Conv),1,0.098,"$5,673.28",69.301606,CINCINNATI CSD,01000 - OAKLEY,No,No,No,Yes,No,No,99190,0,166890,266080,0,0,0,"$5,673.28"
74,038-0A03-0030-00,3598 SAYBROOK AVE,1232,510,1921,07-09-2009,"$248,000",6,3,1,0,24755,WD - Warranty Deed (Conv),1,0.131,"$6,271.23",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,163200,0,130060,293260,0,0,0,"$6,271.23"
75,038-0A03-0038-00,3628 SAYBROOK AVE,1169,510,1924,06-17-2009,"$215,000",6,3,1,0,307491,WD - Warranty Deed (Conv),1,0.123,"$8,657.30",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,149310,0,255690,405000,0,0,0,"$8,657.30"
76,038-0A03-0087-00,3549 SAYBROOK AVE,1172,510,1927,08-12-2009,"$217,000",7,3,1,1,196182,WD - Warranty Deed (Conv),1,0.110,"$6,981.17",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,142200,0,184630,326830,0,0,0,"$6,981.17"
77,038-0A03-0094-00,3526 PEMBROKE AVE,1002,510,1920,06-10-2009,"$192,000",5,2,1,0,23279,WD - Warranty Deed (Conv),1,0.116,"$6,183.27",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,145760,0,143410,289170,0,0,0,"$6,183.27"
78,038-0A03-0098-00,3542 PEMBROKE AVE,1277,510,1916,08-04-2009,"$236,900",5,2,1,1,26059,WD - Warranty Deed (Conv),1,0.110,"$6,017.45",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,142200,0,139440,281640,0,0,0,"$6,017.45"
79,038-0A03-0104-00,3641 BRENTWOOD AVE,1232,510,1923,07-23-2009,"$185,000",6,3,1,0,342594,WD - Warranty Deed (Conv),1,0.110,"$6,435.93",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,142200,0,158860,301060,0,0,0,"$6,435.93"
90,038-0A03-0107-00,3627 BRENTWOOD AVE,1199,510,1924,03-02-2009,"$199,000",5,2,1,0,309072,WD - Warranty Deed (Conv),1,0.101,"$7,155.43",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,136510,0,198490,335000,0,0,0,"$7,155.43"
91,038-0A03-0113-00,3519 PEMBROKE AVE,1296,510,1924,03-18-2009,"$112,000",5,2,2,0,27923,WD - Warranty Deed (Conv),1,0.129,"$6,607.83",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,YES(97),Yes,No,No,No,Yes,153580,0,144150,297730,0,0,0,"$6,607.83"
92,038-0A03-0235-00,3617 WILSHIRE AVE,1169,510,1926,08-13-2009,"$201,200",6,3,1,1,214416,WD - Warranty Deed (Conv),1,0.110,"$5,753.07",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,142200,0,127020,269220,0,0,0,"$5,753.07"
93,038-0A03-0256-00,3689 SAYBROOK AVE,1204,510,1926,04-30-2009,"$205,000",5,2,1,0,336570,SV - Survivorship Deed (Conv),1,0.152,"$5,755.57",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,YES(94),No,No,Yes,No,Yes,159570,0,109730,269300,0,0,0,"$5,755.57"
94,038-0A03-0515-00,3616 PARKLINE AVE,1045,510,1926,07-23-2009,"$217,500",6,2,1,0,278987,WD - Warranty Deed (Conv),1,0.110,"$6,513.60",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,142200,0,162700,304900,0,0,0,"$6,513.60"
95,038-0A03-0517-00,3624 PARKLINE AVE,1232,510,1926,03-30-2009,"$287,500",7,3,2,0,28379,WD - Warranty Deed (Conv),1,0.111,"$7,046.08",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,YES(11),No,No,No,No,Yes,142200,0,175290,317490,0,0,0,"$7,046.08"
96,038-0A03-0543-00,3610 PAPE AVE,1276,550,1922,04-02-2009,"$105,000",7,2,1,1,228178,WD - Warranty Deed (Conv),1,0.000,"$3,701.76",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,YES(20),No,No,Yes,No,Yes,34000,0,138360,172360,0,0,0,"$3,701.76"
97,038-0A03-0544-00,3709 SAYBROOK AVE,1025,550,1976,07-02-2009,"$204,780",5,2,2,0,293280,WD - Warranty Deed (Conv),1,0.000,"$4,953.06",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,42000,0,190000,232000,0,0,0,"$4,953.06"
98,039-0001-0190-00,3623 TARPIS AVE,1145,510,1926,07-06-2009,"$159,000",5,3,1,2,231094,WD - Warranty Deed (Conv),1,0.092,"$5,453.33",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,YES(00),No,No,Yes,No,Yes,120690,0,134280,254970,0,0,0,"$5,453.33"
99,039-0001-0200-00,3507 TARPIS AVE,1036,510,1923,07-07-2009,"$129,608",5,2,1,0,198576,WD - Warranty Deed (Conv),1,0.082,"$4,396.92",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,113230,0,92460,205690,0,0,0,"$4,396.92"
110,039-0002-0105-00,3320 N STERLING WY,943,510,1938,05-04-2009,"$195,000",5,2,1,0,365290,WD - Warranty Deed (Conv),1,0.088,"$4,954.45",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,YES(94),No,No,Yes,No,Yes,107230,0,124510,231740,0,0,0,"$4,954.45"
111,039-0002-0134-00,3428 N CLUB CREST AVE,1052,510,1926,08-04-2009,"$202,500",5,2,1,0,342606,QE - Quit Claim Deed (EX),1,0.122,"$5,551.75",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,No,No,No,Yes,No,Yes,126230,0,133480,259710,0,0,0,"$5,551.75"
112,039-0002-0152-00,3421 N CLUB CREST AVE,1063,510,1927,05-26-2009,"$209,900",5,2,1,0,243699,WD - Warranty Deed (Conv),1,0.117,"$5,714.30",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,No,Yes,No,No,No,Yes,125560,0,131690,257250,0,0,0,"$5,714.30"
113,039-0002-0264-00,3766 MARBURG AVE,1194,510,1930,07-15-2009,"$177,000",6,2,1,1,311743,WD - Warranty Deed (Conv),1,0.090,"$8,322.39",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,No,Yes,No,No,No,Yes,109820,0,265180,375000,0,0,0,"$8,322.39"
114,039-0002-0285-00,3329 S STERLING WY,910,510,1937,04-06-2009,"$181,000",5,2,1,0,236365,WD - Warranty Deed (Conv),1,0.088,"$5,727.55",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,No,No,No,Yes,No,Yes,107230,0,160780,268010,0,0,0,"$5,727.55"
115,039-0002-0300-00,3325 S STERLING WY,1112,510,1937,08-26-2009,"$184,738",5,2,1,0,171658,WD - Warranty Deed (Conv),1,0.093,"$5,743.40",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,No,No,No,Yes,No,Yes,107230,0,161480,268710,0,0,0,"$5,743.40"
116,039-0002-0337-00,3306 DE FOREST DR,1061,510,1936,03-02-2009,"$179,500",5,2,1,0,269661,QE - Quit Claim Deed (EX),1,0.085,"$4,734.33",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,No,No,No,Yes,No,Yes,105940,0,115490,221430,0,0,0,"$4,734.33"
117,039-0002-0391-00,3405 OAK LN,1153,510,1939,08-17-2009,"$220,700",5,2,1,1,142279,WD - Warranty Deed (Conv),1,0.090,"$5,225.39",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,No,No,No,Yes,No,Yes,109820,0,189390,299210,0,0,0,"$5,225.39"
118,039-0002-0395-00,3409 OAK LN,1061,510,1940,06-26-2009,"$193,500",5,2,1,0,309903,WD - Warranty Deed (Conv),1,0.087,"$6,750.97",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,No,No,No,Yes,No,Yes,105940,0,210060,316000,0,0,0,"$6,750.97"
119,039-0002-0575-00,10 GREENHOUSE LN,1291,550,1984,04-10-2009,"$176,000",5,2,1,0,193791,WD - Warranty Deed (Conv),1,0.000,"$7,092.66",69.301606,CINCINNATI CSD,01006 - GREENHOUSE CONDO,No,No,No,Yes,No,No,55000,0,277670,332670,0,0,0,"$7,092.66"
136,039-0002-0575-00,10 GREENHOUSE LN,1291,550,1984,06-22-2009,"$185,527",5,2,1,0,193791,WD - Warranty Deed (Conv),1,0.000,"$7,092.66",69.301606,CINCINNATI CSD,01006 - GREENHOUSE CONDO,No,No,No,Yes,No,No,55000,0,277670,332670,0,0,0,"$7,092.66"
140,039-0002-0639-00,3346 8A MARBURG SQUARE LN,1272,550,2008,06-05-2009,"$257,000",5,2,2,0,175262,WD - Warranty Deed (Conv),1,0.000,"$1,066.06",69.301606,CINCINNATI CSD,01009 - MARBURG SQ CONDO,No,No,No,Yes,No,No,50000,0,232120,282120,0,232120,0,"$1,066.06"
141,039-0002-0641-00,3346 8C MARBURG SQUARE LN,1272,550,2008,02-13-2009,"$270,000",5,2,2,0,270183,WE - Warranty Deed (EX),1,0.000,"$1,066.06",69.301606,CINCINNATI CSD,01009 - MARBURG SQ CONDO,No,No,No,Yes,No,No,50000,0,232120,282120,0,232120,0,"$1,066.06"
142,039-0002-0643-00,3346 8E MARBURG SQUARE LN,1272,550,2008,02-10-2009,"$284,900",5,2,2,0,234481,WE - Warranty Deed (EX),1,0.000,"$1,066.06",69.301606,CINCINNATI CSD,01009 - MARBURG SQ CONDO,No,No,No,Yes,No,No,50000,0,231400,281400,0,231400,0,"$1,066.06"
143,039-0002-0647-00,3316 4C WASSON RD,1279,550,2009,08-04-2009,"$267,000",5,2,2,0,302137,QE - Quit Claim Deed (EX),1,0.000,"$6,017.80",69.301606,CINCINNATI CSD,01009 - MARBURG SQ CONDO,No,No,No,Yes,No,Yes,50000,0,231930,281930,0,0,0,"$6,017.80"
144,039-0002-0649-00,3316 4E WASSON RD,1279,550,2009,08-14-2009,"$282,000",5,2,2,0,69035,WD - Warranty Deed (Conv),1,0.000,"$1,072.46",69.301606,CINCINNATI CSD,01009 - MARBURG SQ CONDO,No,No,No,Yes,No,Yes,50000,0,231220,281220,0,231220,0,"$1,072.46"
145,039-0003-0045-00,3173 MARKBREIT AVE,924,510,1911,05-21-2009,"$180,000",5,2,1,0,289591,WD - Warranty Deed (Conv),1,0.099,"$5,356.49",69.301606,CINCINNATI CSD,01000 - OAKLEY,YES(13),No,No,Yes,No,Yes,96430,0,154270,250700,0,0,0,"$5,356.49"
146,039-0003-0076-00,3131 CELERON AVE,1036,510,1926,03-31-2009,"$124,250",5,2,1,0,139499,WD - Warranty Deed (Conv),1,0.099,"$4,875.74",69.301606,CINCINNATI CSD,01000 - OAKLEY,No,No,No,Yes,No,Yes,92130,0,135970,228100,0,0,0,"$4,875.74"
147,039-0003-0142-00,3923 TAYLOR AVE,1172,510,1927,03-06-2009,"$205,000",6,3,1,0,276980,SV - Survivorship Deed (Conv),1,0.067,"$6,623.03",69.301606,CINCINNATI CSD,01000 - OAKLEY,No,No,No,Yes,No,Yes,65350,0,244650,310000,0,0,0,"$6,623.03"
148,039-0004-0078-00,3818 MT VERNON AVE,1260,510,1907,07-22-2009,"$202,250",5,2,1,1,190026,WD - Warranty Deed (Conv),1,0.133,"$5,743.19",69.301606,CINCINNATI CSD,01003 - OAKLEY 03,No,No,No,Yes,No,Yes,155610,0,113180,268790,0,0,0,"$5,743.19"
162,039-0005-0050-00,3772 ISABELLA AVE,1008,510,1905,06-03-2009,"$157,000",6,2,1,0,263392,WD - Warranty Deed (Conv),1,0.096,"$4,598.92",69.301606,CINCINNATI CSD,01003 - OAKLEY 03,No,No,No,Yes,No,Yes,125780,0,89220,215000,0,0,0,"$4,598.92"
163,039-0005-0056-00,3758 ISABELLA AVE,1212,510,1904,08-24-2009,"$149,373",5,2,2,1,217088,WD - Warranty Deed (Conv),1,0.096,"$6,872.98",69.301606,CINCINNATI CSD,01003 - OAKLEY 03,No,No,No,Yes,No,Yes,125780,0,195850,321630,0,0,0,"$6,872.98"
164,039-0005-0058-00,3756 ISABELLA AVE,977,510,1917,08-04-2009,"$164,900",5,2,1,0,26071,WD - Warranty Deed (Conv),1,0.104,"$4,988.77",69.301606,CINCINNATI CSD,01003 - OAKLEY 03,No,No,No,Yes,No,Yes,136570,0,96760,233330,0,0,0,"$4,988.77"
165,039-0A03-0094-00,3785 FERDINAND PL,952,510,1905,02-06-2009,"$155,000",5,2,1,0,63247,WD - Warranty Deed (Conv),1,0.159,"$4,278.48",69.301606,CINCINNATI CSD,01000 - OAKLEY,No,No,No,Yes,No,Yes,109860,0,90310,200170,0,0,0,"$4,278.48"
166,040-0001-0009-00,2887 MARKBREIT AVE,1224,510,1904,02-05-2009,"$199,000",6,3,1,1,18382,WD - Warranty Deed (Conv),1,0.121,"$6,158.98",69.301606,CINCINNATI CSD,01002 - OAKLEY 02,YES(09),No,No,Yes,No,Yes,128320,0,160060,288380,0,0,0,"$6,158.98"
