,parcel_number,address,finsqft,use,year_built,transfer_date,amount,total_rooms,bedrooms,full_baths,half_baths,conveyance_number,deed_type,num_parcels_sold,acreage,annual_tax,effective_tax_rate,school_district,appraisal_area,board_of_revision,rental_registration,homestead,owner_occupancy_credit,foreclosure,special_assessments,market_land_value,cauv_value,market_improvement_value,market_total_value,tif_value,abated_value,exempt_value,taxes_paid,st_num,apt_num,street,city,state,new_address,formatted_address,longitude,latitude,num_amount,year,month
12,026-0001-0123-00,554 1/2 Hoge St,1152,510,1988,03-10-2011,"$134,000",5,2,1,1,41951.0,WD - Warranty Deed (Conv),1,0.058,"$5,507.42",69.301606,CINCINNATI CSD,00405 - COLUMBIA TUSCULUM 05,No,No,No,Yes,No,Yes,115060,0,142880,257940,0,0,0,"$5,507.42",554,1/2,Hoge St,Cincinnati,OH,"554 Hoge St 1/2 Cincinnati, OH","560 1/2 Hoge St #554, Cincinnati, OH 45226, USA",-84.4358286,39.1192714,134000,2011,3
13,027-0002-0014-00,3716 Stevens Pl,1097,510,1893,06-02-2011,"$185,000",4,2,1,0,322932.0,WD - Warranty Deed (Conv),1,0.058,"$5,469.63",69.301606,CINCINNATI CSD,00405 - COLUMBIA TUSCULUM 05,No,No,No,Yes,No,Yes,112290,0,132710,245000,0,0,0,"$5,469.63",3716,,Stevens Pl,Cincinnati,OH,"3716 Stevens Pl Cincinnati, OH","3716 Stevens Pl, Cincinnati, OH 45226, USA",-84.4328946,39.1146617,185000,2011,6
14,027-0003-0113-00,3825 Stites Pl,1003,510,1921,06-14-2011,"$127,000",6,3,1,0,66739.0,WD - Warranty Deed (Conv),1,0.07,"$3,889.19",69.301606,CINCINNATI CSD,00421 - COLUMBIA TUSCULUM 21,No,No,No,Yes,No,Yes,50580,0,131440,182020,0,0,0,"$3,889.19",3825,,Stites Pl,Cincinnati,OH,"3825 Stites Pl Cincinnati, OH","3825 Stites Pl, Cincinnati, OH 45226, USA",-84.4342726,39.1118391,127000,2011,6
15,028-0006-0194-00,532 Tusculum Ave,1056,550,1980,04-05-2011,"$130,000",5,2,1,1,160342.0,WD - Warranty Deed (Conv),1,0.0,"$3,989.59",69.301606,CINCINNATI CSD,00416 - TUSCULUM CONDO,No,No,No,Yes,No,Yes,29400,0,157680,187080,0,0,0,"$3,989.59",532,,Tusculum Ave,Cincinnati,OH,"532 Tusculum Ave Cincinnati, OH","532 Tusculum Ave, Cincinnati, OH 45226, USA",-84.4326657,39.115256,130000,2011,4
16,028-0006-0204-00,552 Tusculum Ave,1056,550,1980,04-11-2011,"$136,000",5,2,1,2,210211.0,WD - Warranty Deed (Conv),1,0.0,"$3,984.13",69.301606,CINCINNATI CSD,00416 - TUSCULUM CONDO,No,No,No,Yes,No,Yes,29400,0,157440,186840,0,0,0,"$3,984.13",552,,Tusculum Ave,Cincinnati,OH,"552 Tusculum Ave Cincinnati, OH","552 Tusculum Ave, Cincinnati, OH 45226, USA",-84.4326657,39.115256,136000,2011,4
17,036-0006-0236-00,5605 Bramble Ave,1096,510,1909,05-31-2011,"$115,000",6,2,2,0,302202.0,WD - Warranty Deed (Conv),1,0.167,"$5,188.28",69.301606,CINCINNATI CSD,00800 - MADISONVILLE,No,No,No,Yes,No,Yes,46880,0,195710,242590,0,0,0,"$5,188.28",5605,,Bramble Ave,Cincinnati,OH,"5605 Bramble Ave Cincinnati, OH","5605 Bramble Ave, Cincinnati, OH 45227, USA",-84.4006892,39.1520022,115000,2011,5
18,037-0002-0207-00,6731 Britton Ave,1259,510,1939,07-20-2011,"$103,000",5,2,1,0,187249.0,WE - Warranty Deed (EX),1,0.085,"$3,650.48",69.301606,CINCINNATI CSD,00800 - MADISONVILLE,No,No,No,No,No,Yes,29940,0,134350,164290,0,0,0,"$3,650.48",6731,,Britton Ave,Cincinnati,OH,"6731 Britton Ave Cincinnati, OH","6731 Britton Ave, Cincinnati, OH 45227, USA",-84.3814398,39.1522134,103000,2011,7
19,037-0003-0382-00,6816 Hurd Ave,1208,510,1940,03-22-2011,"$124,375",8,3,2,1,161496.0,WD - Warranty Deed (Conv),1,0.1,"$3,742.76",69.301606,CINCINNATI CSD,00800 - MADISONVILLE,No,No,No,Yes,No,Yes,32240,0,142630,174870,0,0,0,"$3,742.76",6816,,Hurd Ave,Cincinnati,OH,"6816 Hurd Ave Cincinnati, OH","6816 Hurd Ave, Cincinnati, OH 45227, USA",-84.3799672,39.1565499,124375,2011,3
20,037-0004-0043-00,4200 Homer Ave,985,510,1913,03-22-2011,"$272,000",5,2,1,1,348151.0,WE - Warranty Deed (EX),4,0.093,"$4,255.04",69.301606,CINCINNATI CSD,00800 - MADISONVILLE,YES(12),Yes,No,No,No,Yes,32240,0,159360,191600,0,0,0,"$4,255.04",4200,,Homer Ave,Cincinnati,OH,"4200 Homer Ave Cincinnati, OH","4200 Homer Ave, Cincinnati, OH 45227, USA",-84.3891999,39.1503381,272000,2011,3
21,037-0005-0265-00,7022 Britton Ave,1190,510,1940,06-28-2011,"$100,000",6,3,1,0,262978.0,WD - Warranty Deed (Conv),1,0.114,"$4,213.06",69.301606,CINCINNATI CSD,00800 - MADISONVILLE,No,No,No,Yes,No,Yes,36850,0,160150,197000,0,0,0,"$4,213.06",7022,,Britton Ave,Cincinnati,OH,"7022 Britton Ave Cincinnati, OH","7022 Britton Ave, Cincinnati, OH 45227, USA",-84.3740582,39.1521049,100000,2011,6
22,038-0001-0024-00,3646 105 Ashworth Dr,1248,550,1978,07-01-2011,"$125,000",5,2,2,0,242081.0,WD - Warranty Deed (Conv),1,0.0,"$5,019.93",69.301606,CINCINNATI CSD,00929 - ASHWORTH PHASE 1 CONDO,No,No,No,Yes,No,Yes,40500,0,194500,235000,0,0,0,"$5,019.93",3646,105,Ashworth Dr,Cincinnati,OH,"3646 Ashworth Dr 105 Cincinnati, OH","3646 Ashworth Dr UNIT 105, Cincinnati, OH 45208, USA",-84.4130345,39.143651,125000,2011,7
23,038-0002-0191-00,3421 C Traskwood Cr,1281,550,1979,07-25-2011,"$104,500",5,2,2,0,300927.0,WD - Warranty Deed (Conv),1,0.0,"$4,255.17",69.301606,CINCINNATI CSD,00907 - CHESTNUT STATION CONDO,No,No,No,Yes,No,Yes,50500,0,148820,199320,0,0,0,"$4,255.17",3421,,C Traskwood Cr,Cincinnati,OH,"3421 C Traskwood Cr Cincinnati, OH","3421 Traskwood Cir, Cincinnati, OH 45208, USA",-84.4065251,39.1426593,104500,2011,7
24,038-0002-0208-00,3417 B Traskwood Cr,1287,550,1979,07-05-2011,"$153,000",5,2,2,0,254146.0,EXD - Executors Deed (Conv),1,0.0,"$4,306.18",69.301606,CINCINNATI CSD,00907 - CHESTNUT STATION CONDO,No,No,No,Yes,No,Yes,50500,0,151240,201740,0,0,0,"$4,306.18",3417,,B Traskwood Cr,Cincinnati,OH,"3417 B Traskwood Cr Cincinnati, OH","3417 Traskwood Cir, Cincinnati, OH 45208, USA",-84.4065432,39.1428694,153000,2011,7
25,038-0002-0411-00,3736 D Ashworth Dr,862,550,1963,03-17-2011,"$147,500",5,2,2,0,53887.0,WD - Warranty Deed (Conv),1,0.0,"$3,905.78",69.301606,CINCINNATI CSD,00927 - HYDE PARK PLACE CONDO,No,No,No,Yes,No,Yes,25300,0,157540,182840,0,0,0,"$3,905.78",3736,,D Ashworth Dr,Cincinnati,OH,"3736 D Ashworth Dr Cincinnati, OH","3736 Ashworth Dr, Cincinnati, OH 45208, USA",-84.4094149,39.1434541,147500,2011,3
26,038-0002-0411-00,3736 D Ashworth Dr,862,550,1963,05-18-2011,"$132,759",5,2,2,0,53887.0,WD - Warranty Deed (Conv),1,0.0,"$3,905.78",69.301606,CINCINNATI CSD,00927 - HYDE PARK PLACE CONDO,No,No,No,Yes,No,Yes,25300,0,157540,182840,0,0,0,"$3,905.78",3736,,D Ashworth Dr,Cincinnati,OH,"3736 D Ashworth Dr Cincinnati, OH","3736 Ashworth Dr, Cincinnati, OH 45208, USA",-84.4094149,39.1434541,132759,2011,5
27,038-0003-0091-00,3648 Herschel Ave,1292,550,1983,03-21-2011,"$291,000",5,2,2,2,18265.0,WD - Warranty Deed (Conv),1,0.0,"$6,476.21",69.301606,CINCINNATI CSD,00913 - GLOUCESTER SQAURE CONDO,YES(15),No,No,Yes,No,Yes,54000,0,249300,303300,0,0,0,"$6,476.21",3648,,Herschel Ave,Cincinnati,OH,"3648 Herschel Ave Cincinnati, OH","3648 Herschel Ave, Cincinnati, OH 45208, USA",-84.4199709,39.1427711,291000,2011,3
28,038-0004-0154-00,3429 C Traskwood Cr,1281,550,1979,06-07-2011,"$139,000",5,2,2,0,329711.0,WD - Warranty Deed (Conv),1,0.0,"$4,230.19",69.301606,CINCINNATI CSD,00907 - CHESTNUT STATION CONDO,No,No,No,Yes,No,Yes,50500,0,147650,198150,0,0,0,"$4,230.19",3429,,C Traskwood Cr,Cincinnati,OH,"3429 C Traskwood Cr Cincinnati, OH","3429 Traskwood Cir, Cincinnati, OH 45208, USA",-84.4064784,39.1423175,139000,2011,6
29,038-0004-0159-00,3433 D Traskwood Cr,1281,550,1979,07-06-2011,"$108,000",5,2,2,0,232438.0,WD - Warranty Deed (Conv),1,0.0,"$4,229.75",69.301606,CINCINNATI CSD,00907 - CHESTNUT STATION CONDO,No,No,No,Yes,No,Yes,50500,0,147650,198150,0,0,0,"$4,229.75",3433,,D Traskwood Cr,Cincinnati,OH,"3433 D Traskwood Cr Cincinnati, OH","3433 Traskwood Cir, Cincinnati, OH 45208, USA",-84.4064503,39.1421301,108000,2011,7
30,038-0004-0236-00,3654 Willowlea Ct,1088,550,1963,06-06-2011,"$179,000",6,2,2,0,264934.0,WD - Warranty Deed (Conv),1,0.0,"$5,052.29",69.301606,CINCINNATI CSD,00927 - HYDE PARK PLACE CONDO,No,No,No,Yes,No,Yes,35200,0,201300,236500,0,0,0,"$5,052.29",3654,,Willowlea Ct,Cincinnati,OH,"3654 Willowlea Ct Cincinnati, OH","3654 Willowlea Ct, Cincinnati, OH 45208, USA",-84.4094398,39.1421231,179000,2011,6
31,038-0004-0248-00,3661 B Willowlea Ct,1088,550,1963,07-27-2011,"$114,450",6,2,2,0,272008.0,WD - Warranty Deed (Conv),1,0.0,"$5,190.55",69.301606,CINCINNATI CSD,00927 - HYDE PARK PLACE CONDO,YES(18),No,No,Yes,No,Yes,35200,0,207800,243000,0,0,0,"$5,190.55",3661,,B Willowlea Ct,Cincinnati,OH,"3661 B Willowlea Ct Cincinnati, OH","3661 Willowlea Ct, Cincinnati, OH 45208, USA",-84.4100933,39.1423363,114450,2011,7
32,038-0A03-0056-00,3686 Saybrook Ave,1099,510,1929,07-08-2011,"$197,500",5,2,1,0,297279.0,QE - Quit Claim Deed (EX),1,0.124,"$5,974.96",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,No,No,Yes,149310,0,119830,269140,0,0,0,"$5,974.96",3686,,Saybrook Ave,Cincinnati,OH,"3686 Saybrook Ave Cincinnati, OH","3686 Saybrook Ave, Cincinnati, OH 45208, USA",-84.4113864,39.1420155,197500,2011,7
33,038-0A03-0056-00,3686 Saybrook Ave,1099,510,1929,07-08-2011,"$176,000",5,2,1,0,297279.0,QE - Quit Claim Deed (EX),1,0.124,"$5,974.96",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,No,No,Yes,149310,0,119830,269140,0,0,0,"$5,974.96",3686,,Saybrook Ave,Cincinnati,OH,"3686 Saybrook Ave Cincinnati, OH","3686 Saybrook Ave, Cincinnati, OH 45208, USA",-84.4113864,39.1420155,176000,2011,7
34,038-0A03-0097-00,3540 Pembroke Ave,1000,510,1924,05-02-2011,"$194,000",5,2,2,0,232117.0,WD - Warranty Deed (Conv),1,0.11,"$6,375.37",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,142200,0,155880,298080,0,0,0,"$6,375.37",3540,,Pembroke Ave,Cincinnati,OH,"3540 Pembroke Ave Cincinnati, OH","3540 Pembroke Ave, Cincinnati, OH 45208, USA",-84.4176304,39.14206240000001,194000,2011,5
35,038-0A03-0255-00,3687 Saybrook Ave,1087,510,1927,06-06-2011,"$195,000",5,2,1,0,310193.0,WD - Warranty Deed (Conv),1,0.123,"$7,544.57",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,No,No,Yes,150730,0,189270,340000,0,0,0,"$7,544.57",3687,,Saybrook Ave,Cincinnati,OH,"3687 Saybrook Ave Cincinnati, OH","3687 Saybrook Ave, Cincinnati, OH 45208, USA",-84.4115831,39.1417247,195000,2011,6
36,038-0A03-0451-00,3431 Pape Ave,1278,510,1921,08-17-2011,"$170,000",6,3,1,0,256139.0,WD - Warranty Deed (Conv),1,0.11,"$6,387.83",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,142200,0,156800,299000,0,0,0,"$6,387.83",3431,,Pape Ave,Cincinnati,OH,"3431 Pape Ave Cincinnati, OH","3431 Pape Ave, Cincinnati, OH 45208, USA",-84.4193859,39.1400792,170000,2011,8
37,038-0A03-0509-00,3535 Parkline Ave,1067,510,1925,08-25-2011,"$224,000",5,2,1,0,111396.0,WD - Warranty Deed (Conv),1,0.108,"$6,605.34",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,YES(09),No,No,Yes,No,Yes,142200,0,166990,309190,0,0,0,"$6,605.34",3535,,Parkline Ave,Cincinnati,OH,"3535 Parkline Ave Cincinnati, OH","3535 Parkline Ave, Cincinnati, OH 45208, USA",-84.4179436,39.139557,224000,2011,8
38,039-0001-0239-00,3627 Tarpis Ave,936,510,1950,02-02-2011,"$175,000",5,2,1,0,318548.0,WE - Warranty Deed (EX),1,0.104,"$6,658.17",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,No,No,Yes,137930,0,162070,300000,0,0,0,"$6,658.17",3627,,Tarpis Ave,Cincinnati,OH,"3627 Tarpis Ave Cincinnati, OH","3627 Tarpis Ave, Cincinnati, OH 45208, USA",-84.4238931,39.1425974,175000,2011,2
39,039-0001-0285-00,3661 Herschel Ave,1292,550,1983,08-09-2011,"$320,000",5,2,2,2,79951.0,WD - Warranty Deed (Conv),1,0.0,"$7,279.12",69.301606,CINCINNATI CSD,00913 - GLOUCESTER SQAURE CONDO,No,No,No,Yes,No,No,54000,0,287140,341140,0,0,0,"$7,279.12",3661,,Herschel Ave,Cincinnati,OH,"3661 Herschel Ave Cincinnati, OH","3661 Herschel Ave, Cincinnati, OH 45208, USA",-84.4206796,39.1432386,320000,2011,8
40,039-0002-0027-00,3358 Everson Ave,1276,510,1896,03-28-2011,"$214,000",6,3,1,1,306142.0,WD - Warranty Deed (Conv),1,0.168,"$7,585.01",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,No,No,No,Yes,No,Yes,148350,0,206650,355000,0,0,0,"$7,585.01",3358,,Everson Ave,Cincinnati,OH,"3358 Everson Ave Cincinnati, OH","3358 Everson Ave, Cincinnati, OH 45209, USA",-84.4229495,39.1503329,214000,2011,3
41,039-0002-0224-00,3323 Claramont Ave,1012,510,1928,03-04-2011,"$205,000",5,2,1,0,211459.0,WD - Warranty Deed (Conv),1,0.09,"$5,433.32",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,No,No,No,No,No,Yes,105940,0,138720,244660,0,0,0,"$5,433.32",3323,,Claramont Ave,Cincinnati,OH,"3323 Claramont Ave Cincinnati, OH","3323 Claramont Ave, Cincinnati, OH 45209, USA",-84.4227113,39.14864740000001,205000,2011,3
42,039-0002-0226-00,3315 Claramont Ave,976,510,1929,08-10-2011,"$175,000",5,2,1,0,24560.0,WD - Warranty Deed (Conv),1,0.089,"$4,721.27",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,No,No,No,Yes,No,Yes,105940,0,114860,220800,0,0,0,"$4,721.27",3315,,Claramont Ave,Cincinnati,OH,"3315 Claramont Ave Cincinnati, OH","3315 Claramont Ave, Cincinnati, OH 45209, USA",-84.4230315,39.1486349,175000,2011,8
43,039-0002-0243-00,3810 Marburg Ave,1164,510,1929,05-31-2011,"$150,000",5,2,1,0,275212.0,WD - Warranty Deed (Conv),1,0.093,"$7,290.38",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,No,No,No,Yes,No,Yes,109820,0,230180,340000,0,0,0,"$7,290.38",3810,,Marburg Ave,Cincinnati,OH,"3810 Marburg Ave Cincinnati, OH","3810 Marburg Ave, Cincinnati, OH 45209, USA",-84.42155439999999,39.146376,150000,2011,5
44,039-0002-0254-00,3418 Oakview Pl,1262,510,1929,04-04-2011,"$209,000",7,3,2,0,281624.0,WD - Warranty Deed (Conv),1,0.09,"$7,156.29",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,YES(11),No,No,Yes,No,Yes,105940,0,229060,335000,0,0,0,"$7,156.29",3418,,Oakview Pl,Cincinnati,OH,"3418 Oakview Pl Cincinnati, OH","3418 Oak View Pl, Cincinnati, OH 45209, USA",-84.42100049999999,39.1463698,209000,2011,4
45,039-0002-0255-00,3302 Glenhurst Pl,1210,510,1941,07-08-2011,"$192,000",6,2,1,0,23200.0,WD - Warranty Deed (Conv),1,0.097,"$5,072.81",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,YES(95),No,No,Yes,No,Yes,111080,0,125850,236930,0,0,0,"$5,072.81",3302,,Glenhurst Pl,Cincinnati,OH,"3302 Glenhurst Pl Cincinnati, OH","3302 Glenhurst Pl, Cincinnati, OH 45209, USA",-84.4237984,39.1453247,192000,2011,7
46,039-0002-0260-00,3770 Marburg Ave,1255,510,1930,03-11-2011,"$175,000",7,3,1,0,311365.0,WD - Warranty Deed (Conv),1,0.095,"$6,968.75",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,No,No,No,Yes,No,Yes,111110,0,213790,324900,0,0,0,"$6,968.75",3770,,Marburg Ave,Cincinnati,OH,"3770 Marburg Ave Cincinnati, OH","3770 Marburg Ave, Cincinnati, OH 45209, USA",-84.4215955,39.1461348,175000,2011,3
47,039-0002-0302-00,3307 S Sterling Wy,1066,510,1935,06-21-2011,"$197,500",5,2,1,0,22417.0,WD - Warranty Deed (Conv),1,0.196,"$6,004.14",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,YES(95),No,No,Yes,No,Yes,148020,0,132720,280740,0,0,0,"$6,004.14",3307,,S Sterling Wy,Cincinnati,OH,"3307 S Sterling Wy Cincinnati, OH","3307 S Sterling Way, Cincinnati, OH 45209, USA",-84.4234204,39.1475223,197500,2011,6
48,039-0002-0317-00,3335 De Forest Dr,1012,510,1937,02-24-2011,"$170,000",5,2,1,0,218186.0,WD - Warranty Deed (Conv),1,0.074,"$4,953.05",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,No,No,No,Yes,No,Yes,109820,0,121800,231620,0,0,0,"$4,953.05",3335,,De Forest Dr,Cincinnati,OH,"3335 De Forest Dr Cincinnati, OH","3335 De Forest Dr, Cincinnati, OH 45209, USA",-84.4225525,39.1455528,170000,2011,2
49,039-0002-0353-00,3307 De Forest Dr,1012,510,1937,06-16-2011,"$178,500",5,2,1,0,334491.0,WD - Warranty Deed (Conv),1,0.084,"$5,663.47",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,No,No,No,Yes,No,Yes,105940,0,159060,265000,0,0,0,"$5,663.47",3307,,De Forest Dr,Cincinnati,OH,"3307 De Forest Dr Cincinnati, OH","3307 De Forest Dr, Cincinnati, OH 45209, USA",-84.4235942,39.145624,178500,2011,6
50,039-0002-0578-00,13 Greenhouse Ln,1271,550,1984,07-26-2011,"$275,000",5,2,3,0,,WE - Warranty Deed (EX),1,0.0,"$7,914.70",69.301606,CINCINNATI CSD,01006 - GREENHOUSE CONDO,No,No,No,No,No,No,55000,0,302290,357290,0,0,0,"$7,914.70",13,,Greenhouse Ln,Cincinnati,OH,"13 Greenhouse Ln Cincinnati, OH","13 Greenhouse Ln, Cincinnati, OH 45209, USA",-84.4204498,39.1445047,275000,2011,7
51,040-0002-0032-00,3739 Drake Ave,1300,510,1902,05-24-2011,"$225,500",6,2,1,0,342359.0,SV - Survivorship Deed (Conv),1,0.203,"$7,024.98",69.301606,CINCINNATI CSD,01003 - OAKLEY 03,No,No,No,Yes,No,Yes,197090,0,131270,328360,0,0,0,"$7,024.98",3739,,Drake Ave,Cincinnati,OH,"3739 Drake Ave Cincinnati, OH","3739 Drake Ave, Cincinnati, OH 45209, USA",-84.4358336,39.1458452,225500,2011,5
52,040-0005-0016-00,3626 Monteith Ave,848,510,1910,06-20-2011,"$100,000",4,2,1,0,22381.0,WD - Warranty Deed (Conv),1,0.069,"$4,306.12",69.301606,CINCINNATI CSD,00900 - HYDE PARK,No,No,No,Yes,No,Yes,127180,0,74350,201530,0,0,0,"$4,306.12",3626,,Monteith Ave,Cincinnati,OH,"3626 Monteith Ave Cincinnati, OH","3626 Monteith Ave, Cincinnati, OH 45208, USA",-84.43637489999999,39.1432237,100000,2011,6
