,parcel_number,address,finsqft,use,year_built,transfer_date,amount,total_rooms,bedrooms,full_baths,half_baths,conveyance_number,deed_type,num_parcels_sold,acreage,annual_tax,effective_tax_rate,school_district,appraisal_area,board_of_revision,rental_registration,homestead,owner_occupancy_credit,foreclosure,special_assessments,market_land_value,cauv_value,market_improvement_value,market_total_value,tif_value,abated_value,exempt_value,taxes_paid,st_num,apt_num,street,city,state,new_address,formatted_address,longitude,latitude,year,month,num_amount
10,002-0007-0075-00,1354 Bursal Ave,918,510,1947,07-10-2009,"$114,200",5,2,1,0,196077.0,WD - Warranty Deed (Conv),1,0.208,"$2,533.42",69.301606,CINCINNATI CSD,00120 - MT WASHINGTON 20,No,No,No,Yes,No,Yes,33740,0,84230,117970,0,0,0,"$2,533.42",1354,,Bursal Ave,Cincinnati,OH,"1354 Bursal Ave Cincinnati, OH","1354 Bursal Ave, Cincinnati, OH 45230, USA",-84.37368939999999,39.0769901,2009,7,114200
11,003-0002-0040-00,6031 Wayside Ave,1125,510,1910,07-10-2009,"$118,000",5,2,1,0,314730.0,WD - Warranty Deed (Conv),1,0.53,"$3,365.37",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,40120,0,115880,156000,0,0,0,"$3,365.37",6031,,Wayside Ave,Cincinnati,OH,"6031 Wayside Ave Cincinnati, OH","6031 Wayside Ave, Cincinnati, OH 45230, USA",-84.3923208,39.0898615,2009,7,118000
12,003-0002-0054-00,6009 Wayside Ave,926,510,1928,05-12-2009,"$105,000",5,2,1,1,311262.0,WD - Warranty Deed (Conv),1,0.261,"$4,280.16",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,26840,0,173160,200000,0,0,0,"$4,280.16",6009,,Wayside Ave,Cincinnati,OH,"6009 Wayside Ave Cincinnati, OH","6009 Wayside Ave, Cincinnati, OH 45230, USA",-84.3932136,39.08993299999999,2009,5,105000
13,003-0002-0113-00,2111 D Sutton Ave,1242,550,1969,07-01-2009,"$113,000",5,2,2,0,24341.0,WD - Warranty Deed (Conv),1,0.0,"$2,530.49",69.301606,CINCINNATI CSD,00109 - ABBEY CONDO,No,No,No,No,No,Yes,16500,0,97600,114100,0,0,0,"$2,530.49",2111,,D Sutton Ave,Cincinnati,OH,"2111 D Sutton Ave Cincinnati, OH","2111 Sutton Ave, Cincinnati, OH 45230, USA",-84.39026779999999,39.0933351,2009,7,113000
14,003-0003-0214-00,2454 Cardinal Hill Ct,895,555,1995,05-26-2009,"$154,000",4,2,1,0,262865.0,SV - Survivorship Deed (Conv),1,0.033,"$3,901.78",69.301606,CINCINNATI CSD,00102 - RESERVES OF TURPIN LANDO,No,No,No,Yes,No,No,40000,0,143000,183000,0,0,0,"$3,901.78",2454,,Cardinal Hill Ct,Cincinnati,OH,"2454 Cardinal Hill Ct Cincinnati, OH","2454 Cardinal Hill Ct, Cincinnati, OH 45230, USA",-84.3809452,39.0998053,2009,5,154000
15,003-0003-0229-00,2432 Coveyrun South,1188,555,1996,02-13-2009,"$150,000",5,2,2,0,350559.0,WD - Warranty Deed (Conv),1,0.041,"$5,808.54",69.301606,CINCINNATI CSD,00102 - RESERVES OF TURPIN LANDO,YES(10),No,No,Yes,No,No,40000,0,232430,272430,0,0,0,"$5,808.54",2432,,Coveyrun South,Cincinnati,OH,"2432 Coveyrun South Cincinnati, OH","2432 S Coveyrun Ct, Cincinnati, OH 45230, USA",-84.3824868,39.0988415,2009,2,150000
16,003-0004-0136-00,1650 Longbourne St,1142,510,1947,07-08-2009,"$148,000",5,3,1,1,342047.0,WD - Warranty Deed (Conv),1,0.199,"$4,027.43",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,25180,0,162980,188160,0,0,0,"$4,027.43",1650,,Longbourne St,Cincinnati,OH,"1650 Longbourne St Cincinnati, OH","1650 Longbourn St, Cincinnati, OH 45230, USA",-84.3944349,39.0845135,2009,7,148000
17,003-0004-0160-00,6002 Stanhill Ct,1041,510,1934,06-03-2009,"$117,000",6,2,1,1,264274.0,WD - Warranty Deed (Conv),1,0.162,"$3,530.87",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,22550,0,140450,163000,0,0,0,"$3,530.87",6002,,Stanhill Ct,Cincinnati,OH,"6002 Stanhill Ct Cincinnati, OH","6002 Stanhill Ct, Cincinnati, OH 45230, USA",-84.3931613,39.08599960000001,2009,6,117000
18,003-0005-0086-00,2608 Bonnie Dr,944,510,1952,05-05-2009,"$134,500",7,3,1,0,21744.0,WD - Warranty Deed (Conv),1,0.153,"$3,662.51",69.301606,CINCINNATI CSD,00121 - MT WASHINGTON 21,No,No,No,Yes,No,Yes,28840,0,142070,170910,0,0,0,"$3,662.51",2608,,Bonnie Dr,Cincinnati,OH,"2608 Bonnie Dr Cincinnati, OH","2608 Bonnie Dr, Cincinnati, OH 45230, USA",-84.38768,39.1044392,2009,5,134500
19,003-0005-0211-00,5457 Hanover Cr,1096,555,1990,05-01-2009,"$133,500",5,2,2,1,21580.0,WD - Warranty Deed (Conv),1,0.05,"$3,407.76",69.301606,CINCINNATI CSD,00114 - HANOVER CIRCLE LANDO,No,No,No,Yes,No,No,24000,0,135820,159820,0,0,0,"$3,407.76",5457,,Hanover Cr,Cincinnati,OH,"5457 Hanover Cr Cincinnati, OH","5457 Hanover Cir, Cincinnati, OH 45230, USA",-84.3899193,39.1052606,2009,5,133500
20,004-0004-0051-00,1221 Wayside Pl,984,510,1954,07-06-2009,"$114,000",4,2,1,1,24555.0,WD - Warranty Deed (Conv),1,0.118,"$3,006.12",69.301606,CINCINNATI CSD,00116 - MT WASHINGTON 16,No,No,No,Yes,No,Yes,26590,0,113630,140220,0,0,0,"$3,006.12",1221,,Wayside Pl,Cincinnati,OH,"1221 Wayside Pl Cincinnati, OH","1221 Wayside Pl, Cincinnati, OH 45230, USA",-84.39450219999999,39.0906672,2009,7,114000
21,004-0004-0311-00,6030 Tridale Ct,1189,510,1968,06-04-2009,"$118,400",6,3,1,1,192572.0,QE - Quit Claim Deed (EX),1,0.235,"$3,855.56",69.301606,CINCINNATI CSD,00116 - MT WASHINGTON 16,No,No,No,Yes,No,Yes,40050,0,139770,179820,0,0,0,"$3,855.56",6030,,Tridale Ct,Cincinnati,OH,"6030 Tridale Ct Cincinnati, OH","6030 Tridale Ct, Cincinnati, OH 45230, USA",-84.3966581,39.0954227,2009,6,118400
22,005-0002-0037-00,275 Sutton Rd,1170,510,1956,03-27-2009,"$100,000",5,2,1,1,108249.0,WD - Warranty Deed (Conv),1,0.661,"$4,119.98",69.301606,CINCINNATI CSD,00200 - CALIFORNIA,No,No,No,Yes,No,Yes,26130,0,165750,191880,0,0,0,"$4,119.98",275,,Sutton Rd,Cincinnati,OH,"275 Sutton Rd Cincinnati, OH","275 Sutton Rd, Cincinnati, OH 45230, USA",-84.4153757,39.0579301,2009,3,100000
23,008-0002-0151-00,5921 Linneman St,870,510,1960,07-23-2009,"$108,250",5,2,1,0,25480.0,WD - Warranty Deed (Conv),1,0.545,"$3,093.67",69.301606,CINCINNATI CSD,00200 - CALIFORNIA,YES(15),No,No,Yes,No,Yes,22940,0,116150,139090,0,0,0,"$3,093.67",5921,,Linneman St,Cincinnati,OH,"5921 Linneman St Cincinnati, OH","5921 Linneman St, Cincinnati, OH 45230, USA",-84.4243722,39.0642286,2009,7,108250
24,019-0002-0024-00,1194 Herschel Ave,1222,510,1929,07-17-2009,"$230,000",5,2,1,0,241140.0,WD - Warranty Deed (Conv),1,0.169,"$7,160.95",69.301606,CINCINNATI CSD,00600 - MT LOOKOUT,No,No,No,Yes,No,Yes,144010,0,190890,334900,0,0,0,"$7,160.95",1194,,Herschel Ave,Cincinnati,OH,"1194 Herschel Ave Cincinnati, OH","1194 Herschel Ave, Cincinnati, OH 45208, USA",-84.4226893,39.12952,2009,7,230000
25,019-0003-0066-00,4805 Beverly Hill Dr,1146,510,1954,07-10-2009,"$122,000",5,2,1,1,199690.0,WD - Warranty Deed (Conv),1,0.128,"$7,211.26",69.301606,CINCINNATI CSD,00602 - MT LOOKOUT 02,YES(10),No,No,No,No,Yes,179420,0,142660,322080,0,0,0,"$7,211.26",4805,,Beverly Hill Dr,Cincinnati,OH,"4805 Beverly Hill Dr Cincinnati, OH","4805 Beverly Hill Dr, Cincinnati, OH 45208, USA",-84.4211273,39.1258816,2009,7,122000
26,020-0002-0037-00,5003 Shattuc Ave,1285,510,1949,06-15-2009,"$222,000",7,3,2,0,183493.0,WD - Warranty Deed (Conv),1,0.166,"$5,763.44",69.301606,CINCINNATI CSD,00500 - LINWOOD,No,No,No,Yes,No,Yes,94030,0,175660,269690,0,0,0,"$5,763.44",5003,,Shattuc Ave,Cincinnati,OH,"5003 Shattuc Ave Cincinnati, OH","5003 Shattuc Ave, Cincinnati, OH 45208, USA",-84.41565779999999,39.1281384,2009,6,222000
27,025-0003-0148-00,600 8 Delta Ave,1194,550,1990,08-24-2009,"$185,500",5,2,2,1,242933.0,WD - Warranty Deed (Conv),1,0.0,"$4,665.65",69.301606,CINCINNATI CSD,00603 - LONGWORTH COURT CONDO,No,No,No,Yes,No,Yes,30000,0,188500,218500,0,0,0,"$4,665.65",600,8,Delta Ave,Cincinnati,OH,"600 Delta Ave 8 Cincinnati, OH","600 Delta Ave APT 8, Cincinnati, OH 45226, USA",-84.4349951,39.1223521,2009,8,185500
28,027-0003-0112-00,3823 Stites Pl,1056,510,1922,05-26-2009,"$148,000",6,3,1,0,210320.0,WD - Warranty Deed (Conv),1,0.073,"$4,624.84",69.301606,CINCINNATI CSD,00421 - COLUMBIA TUSCULUM 21,YES(13),No,No,Yes,No,Yes,45990,0,170520,216510,0,0,0,"$4,624.84",3823,,Stites Pl,Cincinnati,OH,"3823 Stites Pl Cincinnati, OH","3823 Stites Pl, Cincinnati, OH 45226, USA",-84.43434440000001,39.1119135,2009,5,148000
29,028-0006-0049-00,3573 Handman Ave,1019,510,1951,07-13-2009,"$181,000",6,2,2,0,57405.0,WD - Warranty Deed (Conv),1,0.119,"$7,650.84",69.301606,CINCINNATI CSD,00405 - COLUMBIA TUSCULUM 05,YES(18),No,No,Yes,No,Yes,232310,0,122660,354970,0,0,0,"$7,650.84",3573,,Handman Ave,Cincinnati,OH,"3573 Handman Ave Cincinnati, OH","3573 Handman Ave, Cincinnati, OH 45226, USA",-84.4342508,39.1171143,2009,7,181000
30,028-0006-0216-00,531 Tusculum Ave,1102,550,1880,04-14-2009,"$136,000",5,2,2,1,175814.0,WD - Warranty Deed (Conv),1,0.0,"$3,658.10",69.301606,CINCINNATI CSD,00402 - T-ROW CONDO,No,No,No,Yes,No,Yes,14400,0,157000,171400,0,0,0,"$3,658.10",531,,Tusculum Ave,Cincinnati,OH,"531 Tusculum Ave Cincinnati, OH","531 Tusculum Ave, Cincinnati, OH 45226, USA",-84.4333326,39.115493,2009,4,136000
31,030-0001-0071-00,3206 Walworth Ave,1088,510,1895,06-30-2009,"$159,000",5,2,1,1,357522.0,SV - Survivorship Deed (Conv),1,0.072,"$3,570.86",69.301606,CINCINNATI CSD,00300 - EAST END,No,No,No,Yes,No,Yes,42500,0,124500,167000,26030,0,0,"$3,570.86",3206,,Walworth Ave,Cincinnati,OH,"3206 Walworth Ave Cincinnati, OH","3206 Walworth Ave, Cincinnati, OH 45226, USA",-84.44432669999999,39.1196334,2009,6,159000
32,032-0006-0167-00,2235 102 Riverside Dr,1270,550,2002,05-12-2009,"$230,000",4,2,2,0,33860.0,WD - Warranty Deed (Conv),1,0.0,"$5,871.43",69.301606,CINCINNATI CSD,00305 - WATERFRONT EAST CONDO,No,No,No,Yes,No,Yes,50000,0,225260,275260,0,0,0,"$5,871.43",2235,102,Riverside Dr,Cincinnati,OH,"2235 Riverside Dr 102 Cincinnati, OH","2235 Riverside Dr APT 102, Cincinnati, OH 45202, USA",-84.4703172,39.1229589,2009,5,230000
33,033-0001-0129-00,2017 Calvin Cliff Ln,1111,550,1973,08-19-2009,"$115,000",4,2,2,0,159160.0,WE - Warranty Deed (EX),1,0.0,"$2,479.61",69.301606,CINCINNATI CSD,00707 - CALVIN CLIFF CONDO,YES(21),No,No,Yes,No,Yes,15000,0,100950,115950,0,0,0,"$2,479.61",2017,,Calvin Cliff Ln,Cincinnati,OH,"2017 Calvin Cliff Ln Cincinnati, OH","2017 Calvin Cliff St, Cincinnati, OH 45206, USA",-84.4860643,39.1193854,2009,8,115000
34,036-0005-0072-00,4523 Hector Ave,1246,510,1922,05-08-2009,"$138,500",6,3,1,1,144550.0,WD - Warranty Deed (Conv),1,0.187,"$3,997.64",69.301606,CINCINNATI CSD,00800 - MADISONVILLE,No,No,No,Yes,No,Yes,48410,0,138340,186750,0,0,0,"$3,997.64",4523,,Hector Ave,Cincinnati,OH,"4523 Hector Ave Cincinnati, OH","4523 Hector Ave, Cincinnati, OH 45227, USA",-84.396233,39.1549684,2009,5,138500
35,037-0003-0267-00,6821 Buckingham Pl,1277,510,1932,06-16-2009,"$117,500",5,3,1,1,23558.0,WD - Warranty Deed (Conv),1,0.103,"$3,450.98",69.301606,CINCINNATI CSD,00800 - MADISONVILLE,No,No,No,Yes,No,Yes,32240,0,129090,161330,0,0,0,"$3,450.98",6821,,Buckingham Pl,Cincinnati,OH,"6821 Buckingham Pl Cincinnati, OH","6821 Buckingham Pl, Cincinnati, OH 45227, USA",-84.379685,39.155397,2009,6,117500
36,037-0003-0388-00,6828 Hurd Ave,1074,510,1928,08-17-2009,"$119,500",6,3,1,0,363648.0,WD - Warranty Deed (Conv),1,0.1,"$3,051.12",69.301606,CINCINNATI CSD,00800 - MADISONVILLE,YES(06),No,No,No,No,Yes,32240,0,104990,137230,0,0,0,"$3,051.12",6828,,Hurd Ave,Cincinnati,OH,"6828 Hurd Ave Cincinnati, OH","6828 Hurd Ave, Cincinnati, OH 45227, USA",-84.3792544,39.1565045,2009,8,119500
37,037-0005-0151-00,6813 Britton Ave,1166,510,1951,07-06-2009,"$101,000",5,2,1,0,76882.0,WD - Warranty Deed (Conv),2,0.081,"$2,300.39",69.301606,CINCINNATI CSD,00800 - MADISONVILLE,YES(15),No,No,No,No,Yes,29480,0,73690,103170,0,0,0,"$2,300.39",6813,,Britton Ave,Cincinnati,OH,"6813 Britton Ave Cincinnati, OH","6813 Britton Ave, Cincinnati, OH 45227, USA",-84.37945359999999,39.1520628,2009,7,101000
38,037-0005-0205-00,7053 Palmetto St,800,510,1941,04-14-2009,"$100,000",5,2,1,0,78200.0,WD - Warranty Deed (Conv),1,0.101,"$2,626.98",69.301606,CINCINNATI CSD,00800 - MADISONVILLE,No,No,No,Yes,No,Yes,32240,0,90470,122710,0,0,0,"$2,626.98",7053,,Palmetto St,Cincinnati,OH,"7053 Palmetto St Cincinnati, OH","7053 Palmetto St, Cincinnati, OH 45227, USA",-84.37356260000001,39.1508408,2009,4,100000
39,038-0001-0029-00,3646 205 Ashworth Dr,1248,550,1978,04-21-2009,"$207,000",5,2,2,0,328389.0,FD - Fiduciary Deed (Conv),1,0.0,"$4,999.81",69.301606,CINCINNATI CSD,00929 - ASHWORTH PHASE 1 CONDO,No,No,No,No,No,Yes,40500,0,185020,225520,0,0,0,"$4,999.81",3646,205,Ashworth Dr,Cincinnati,OH,"3646 Ashworth Dr 205 Cincinnati, OH","3646 Ashworth Dr UNIT 205, Cincinnati, OH 45208, USA",-84.4130345,39.143651,2009,4,207000
40,038-0002-0385-00,3687 D Ashworth Dr,874,550,1962,04-03-2009,"$165,190",5,1,1,1,197958.0,WD - Warranty Deed (Conv),1,0.0,"$3,981.33",69.301606,CINCINNATI CSD,00927 - HYDE PARK PLACE CONDO,No,No,No,Yes,No,Yes,28600,0,157690,186290,0,0,0,"$3,981.33",3687,,D Ashworth Dr,Cincinnati,OH,"3687 D Ashworth Dr Cincinnati, OH","3687 Ashworth Dr, Cincinnati, OH 45208, USA",-84.41122849999999,39.1431659,2009,4,165190
41,038-0003-0084-00,3652 Herschel Ave,1292,550,1983,03-03-2009,"$290,000",5,2,2,2,19286.0,WD - Warranty Deed (Conv),1,0.0,"$6,491.88",69.301606,CINCINNATI CSD,00913 - GLOUCESTER SQAURE CONDO,YES(15),No,No,Yes,No,No,54000,0,250140,304140,0,0,0,"$6,491.88",3652,,Herschel Ave,Cincinnati,OH,"3652 Herschel Ave Cincinnati, OH","3652 Herschel Ave, Cincinnati, OH 45208, USA",-84.4199342,39.1429328,2009,3,290000
42,038-0A01-0011-00,3535 Rawson Pl,1172,510,1938,05-01-2009,"$146,900",6,2,1,1,169803.0,WD - Warranty Deed (Conv),1,0.106,"$5,060.44",69.301606,CINCINNATI CSD,01000 - OAKLEY,No,No,No,Yes,No,No,99450,0,137880,237330,0,0,0,"$5,060.44",3535,,Rawson Pl,Cincinnati,OH,"3535 Rawson Pl Cincinnati, OH","3535 Rawson Pl, Cincinnati, OH 45209, USA",-84.4184069,39.1501089,2009,5,146900
43,038-0A01-0022-00,3545 Rawson Pl,1104,510,1929,02-26-2009,"$172,500",6,3,1,0,349533.0,WD - Warranty Deed (Conv),1,0.098,"$5,673.28",69.301606,CINCINNATI CSD,01000 - OAKLEY,No,No,No,Yes,No,No,99190,0,166890,266080,0,0,0,"$5,673.28",3545,,Rawson Pl,Cincinnati,OH,"3545 Rawson Pl Cincinnati, OH","3545 Rawson Pl, Cincinnati, OH 45209, USA",-84.4178967,39.1502397,2009,2,172500
44,038-0A03-0030-00,3598 Saybrook Ave,1232,510,1921,07-09-2009,"$248,000",6,3,1,0,24755.0,WD - Warranty Deed (Conv),1,0.131,"$6,271.23",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,163200,0,130060,293260,0,0,0,"$6,271.23",3598,,Saybrook Ave,Cincinnati,OH,"3598 Saybrook Ave Cincinnati, OH","3598 Saybrook Ave, Cincinnati, OH 45208, USA",-84.41543070000002,39.1427701,2009,7,248000
45,038-0A03-0038-00,3628 Saybrook Ave,1169,510,1924,06-17-2009,"$215,000",6,3,1,0,307491.0,WD - Warranty Deed (Conv),1,0.123,"$8,657.30",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,149310,0,255690,405000,0,0,0,"$8,657.30",3628,,Saybrook Ave,Cincinnati,OH,"3628 Saybrook Ave Cincinnati, OH","3628 Saybrook Ave, Cincinnati, OH 45208, USA",-84.4138598,39.1426522,2009,6,215000
46,038-0A03-0087-00,3549 Saybrook Ave,1172,510,1927,08-12-2009,"$217,000",7,3,1,1,196182.0,WD - Warranty Deed (Conv),1,0.11,"$6,981.17",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,142200,0,184630,326830,0,0,0,"$6,981.17",3549,,Saybrook Ave,Cincinnati,OH,"3549 Saybrook Ave Cincinnati, OH","3549 Saybrook Ave, Cincinnati, OH 45208, USA",-84.41714689999999,39.1425448,2009,8,217000
47,038-0A03-0094-00,3526 Pembroke Ave,1002,510,1920,06-10-2009,"$192,000",5,2,1,0,23279.0,WD - Warranty Deed (Conv),1,0.116,"$6,183.27",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,145760,0,143410,289170,0,0,0,"$6,183.27",3526,,Pembroke Ave,Cincinnati,OH,"3526 Pembroke Ave Cincinnati, OH","3526 Pembroke Ave, Cincinnati, OH 45208, USA",-84.4180452,39.1420955,2009,6,192000
48,038-0A03-0098-00,3542 Pembroke Ave,1277,510,1916,08-04-2009,"$236,900",5,2,1,1,26059.0,WD - Warranty Deed (Conv),1,0.11,"$6,017.45",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,142200,0,139440,281640,0,0,0,"$6,017.45",3542,,Pembroke Ave,Cincinnati,OH,"3542 Pembroke Ave Cincinnati, OH","3542 Pembroke Ave, Cincinnati, OH 45208, USA",-84.41748919999999,39.1420649,2009,8,236900
49,038-0A03-0104-00,3641 Brentwood Ave,1232,510,1923,07-23-2009,"$185,000",6,3,1,0,342594.0,WD - Warranty Deed (Conv),1,0.11,"$6,435.93",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,142200,0,158860,301060,0,0,0,"$6,435.93",3641,,Brentwood Ave,Cincinnati,OH,"3641 Brentwood Ave Cincinnati, OH","3641 Brentwood Ave, Cincinnati, OH 45208, USA",-84.4165214,39.1422813,2009,7,185000
50,038-0A03-0107-00,3627 Brentwood Ave,1199,510,1924,03-02-2009,"$199,000",5,2,1,0,309072.0,WD - Warranty Deed (Conv),1,0.101,"$7,155.43",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,136510,0,198490,335000,0,0,0,"$7,155.43",3627,,Brentwood Ave,Cincinnati,OH,"3627 Brentwood Ave Cincinnati, OH","3627 Brentwood Ave, Cincinnati, OH 45208, USA",-84.4167386,39.1419779,2009,3,199000
51,038-0A03-0113-00,3519 Pembroke Ave,1296,510,1924,03-18-2009,"$112,000",5,2,2,0,27923.0,WD - Warranty Deed (Conv),1,0.129,"$6,607.83",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,YES(97),Yes,No,No,No,Yes,153580,0,144150,297730,0,0,0,"$6,607.83",3519,,Pembroke Ave,Cincinnati,OH,"3519 Pembroke Ave Cincinnati, OH","3519 Pembroke Ave, Cincinnati, OH 45208, USA",-84.4183936,39.1417094,2009,3,112000
52,038-0A03-0235-00,3617 Wilshire Ave,1169,510,1926,08-13-2009,"$201,200",6,3,1,1,214416.0,WD - Warranty Deed (Conv),1,0.11,"$5,753.07",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,142200,0,127020,269220,0,0,0,"$5,753.07",3617,,Wilshire Ave,Cincinnati,OH,"3617 Wilshire Ave Cincinnati, OH","3617 Wilshire Ave, Cincinnati, OH 45208, USA",-84.41389679999999,39.1409159,2009,8,201200
