,parcel_number,address,finsqft,use,year_built,transfer_date,amount,total_rooms,bedrooms,full_baths,half_baths,conveyance_number,deed_type,num_parcels_sold,acreage,annual_tax,effective_tax_rate,school_district,appraisal_area,board_of_revision,rental_registration,homestead,owner_occupancy_credit,foreclosure,special_assessments,market_land_value,cauv_value,market_improvement_value,market_total_value,tif_value,abated_value,exempt_value,taxes_paid
33,038-0002-0191-00,3421 C TRASKWOOD CR,1281,550,1979,07-25-2011,"$104,500",5,2,2,0,300927,WD - Warranty Deed (Conv),1,0.000,"$4,255.17",69.301606,CINCINNATI CSD,00907 - CHESTNUT STATION CONDO,No,No,No,Yes,No,Yes,50500,0,148820,199320,0,0,0,"$4,255.17"
34,038-0002-0208-00,3417 B TRASKWOOD CR,1287,550,1979,07-05-2011,"$153,000",5,2,2,0,254146,EXD - Executors Deed (Conv),1,0.000,"$4,306.18",69.301606,CINCINNATI CSD,00907 - CHESTNUT STATION CONDO,No,No,No,Yes,No,Yes,50500,0,151240,201740,0,0,0,"$4,306.18"
35,038-0002-0411-00,3736 D ASHWORTH DR,862,550,1963,03-17-2011,"$147,500",5,2,2,0,53887,WD - Warranty Deed (Conv),1,0.000,"$3,905.78",69.301606,CINCINNATI CSD,00927 - HYDE PARK PLACE CONDO,No,No,No,Yes,No,Yes,25300,0,157540,182840,0,0,0,"$3,905.78"
39,038-0002-0411-00,3736 D ASHWORTH DR,862,550,1963,05-18-2011,"$132,759",5,2,2,0,53887,WD - Warranty Deed (Conv),1,0.000,"$3,905.78",69.301606,CINCINNATI CSD,00927 - HYDE PARK PLACE CONDO,No,No,No,Yes,No,Yes,25300,0,157540,182840,0,0,0,"$3,905.78"
43,038-0003-0091-00,3648 HERSCHEL AVE,1292,550,1983,03-21-2011,"$291,000",5,2,2,2,18265,WD - Warranty Deed (Conv),1,0.000,"$6,476.21",69.301606,CINCINNATI CSD,00913 - GLOUCESTER SQAURE CONDO,YES(15),No,No,Yes,No,Yes,54000,0,249300,303300,0,0,0,"$6,476.21"
44,038-0004-0154-00,3429 C TRASKWOOD CR,1281,550,1979,06-07-2011,"$139,000",5,2,2,0,329711,WD - Warranty Deed (Conv),1,0.000,"$4,230.19",69.301606,CINCINNATI CSD,00907 - CHESTNUT STATION CONDO,No,No,No,Yes,No,Yes,50500,0,147650,198150,0,0,0,"$4,230.19"
45,038-0004-0159-00,3433 D TRASKWOOD CR,1281,550,1979,07-06-2011,"$108,000",5,2,2,0,232438,WD - Warranty Deed (Conv),1,0.000,"$4,229.75",69.301606,CINCINNATI CSD,00907 - CHESTNUT STATION CONDO,No,No,No,Yes,No,Yes,50500,0,147650,198150,0,0,0,"$4,229.75"
62,038-0004-0236-00,3654 WILLOWLEA CT,1088,550,1963,06-06-2011,"$179,000",6,2,2,0,264934,WD - Warranty Deed (Conv),1,0.000,"$5,052.29",69.301606,CINCINNATI CSD,00927 - HYDE PARK PLACE CONDO,No,No,No,Yes,No,Yes,35200,0,201300,236500,0,0,0,"$5,052.29"
63,038-0004-0248-00,3661 B WILLOWLEA CT,1088,550,1963,07-27-2011,"$114,450",6,2,2,0,272008,WD - Warranty Deed (Conv),1,0.000,"$5,190.55",69.301606,CINCINNATI CSD,00927 - HYDE PARK PLACE CONDO,YES(18),No,No,Yes,No,Yes,35200,0,207800,243000,0,0,0,"$5,190.55"
64,038-0A03-0056-00,3686 SAYBROOK AVE,1099,510,1929,07-08-2011,"$197,500",5,2,1,0,297279,QE - Quit Claim Deed (EX),1,0.124,"$5,974.96",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,No,No,Yes,149310,0,119830,269140,0,0,0,"$5,974.96"
68,038-0A03-0056-00,3686 SAYBROOK AVE,1099,510,1929,07-08-2011,"$176,000",5,2,1,0,297279,QE - Quit Claim Deed (EX),1,0.124,"$5,974.96",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,No,No,Yes,149310,0,119830,269140,0,0,0,"$5,974.96"
72,038-0A03-0097-00,3540 PEMBROKE AVE,1000,510,1924,05-02-2011,"$194,000",5,2,2,0,232117,WD - Warranty Deed (Conv),1,0.110,"$6,375.37",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,142200,0,155880,298080,0,0,0,"$6,375.37"
73,038-0A03-0255-00,3687 SAYBROOK AVE,1087,510,1927,06-06-2011,"$195,000",5,2,1,0,310193,WD - Warranty Deed (Conv),1,0.123,"$7,544.57",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,No,No,Yes,150730,0,189270,340000,0,0,0,"$7,544.57"
74,038-0A03-0451-00,3431 PAPE AVE,1278,510,1921,08-17-2011,"$170,000",6,3,1,0,256139,WD - Warranty Deed (Conv),1,0.110,"$6,387.83",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,Yes,No,Yes,142200,0,156800,299000,0,0,0,"$6,387.83"
75,038-0A03-0509-00,3535 PARKLINE AVE,1067,510,1925,08-25-2011,"$224,000",5,2,1,0,111396,WD - Warranty Deed (Conv),1,0.108,"$6,605.34",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,YES(09),No,No,Yes,No,Yes,142200,0,166990,309190,0,0,0,"$6,605.34"
83,039-0001-0239-00,3627 TARPIS AVE,936,510,1950,02-02-2011,"$175,000",5,2,1,0,318548,WE - Warranty Deed (EX),1,0.104,"$6,658.17",69.301606,CINCINNATI CSD,00903 - HYDE PARK 03,No,No,No,No,No,Yes,137930,0,162070,300000,0,0,0,"$6,658.17"
106,039-0001-0285-00,3661 HERSCHEL AVE,1292,550,1983,08-09-2011,"$320,000",5,2,2,2,79951,WD - Warranty Deed (Conv),1,0.000,"$7,279.12",69.301606,CINCINNATI CSD,00913 - GLOUCESTER SQAURE CONDO,No,No,No,Yes,No,No,54000,0,287140,341140,0,0,0,"$7,279.12"
107,039-0002-0027-00,3358 EVERSON AVE,1276,510,1896,03-28-2011,"$214,000",6,3,1,1,306142,WD - Warranty Deed (Conv),1,0.168,"$7,585.01",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,No,No,No,Yes,No,Yes,148350,0,206650,355000,0,0,0,"$7,585.01"
108,039-0002-0224-00,3323 CLARAMONT AVE,1012,510,1928,03-04-2011,"$205,000",5,2,1,0,211459,WD - Warranty Deed (Conv),1,0.090,"$5,433.32",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,No,No,No,No,No,Yes,105940,0,138720,244660,0,0,0,"$5,433.32"
109,039-0002-0226-00,3315 CLARAMONT AVE,976,510,1929,08-10-2011,"$175,000",5,2,1,0,24560,WD - Warranty Deed (Conv),1,0.089,"$4,721.27",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,No,No,No,Yes,No,Yes,105940,0,114860,220800,0,0,0,"$4,721.27"
110,039-0002-0243-00,3810 MARBURG AVE,1164,510,1929,05-31-2011,"$150,000",5,2,1,0,275212,WD - Warranty Deed (Conv),1,0.093,"$7,290.38",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,No,No,No,Yes,No,Yes,109820,0,230180,340000,0,0,0,"$7,290.38"
111,039-0002-0254-00,3418 OAKVIEW PL,1262,510,1929,04-04-2011,"$209,000",7,3,2,0,281624,WD - Warranty Deed (Conv),1,0.090,"$7,156.29",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,YES(11),No,No,Yes,No,Yes,105940,0,229060,335000,0,0,0,"$7,156.29"
112,039-0002-0255-00,3302 GLENHURST PL,1210,510,1941,07-08-2011,"$192,000",6,2,1,0,23200,WD - Warranty Deed (Conv),1,0.097,"$5,072.81",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,YES(95),No,No,Yes,No,Yes,111080,0,125850,236930,0,0,0,"$5,072.81"
113,039-0002-0260-00,3770 MARBURG AVE,1255,510,1930,03-11-2011,"$175,000",7,3,1,0,311365,WD - Warranty Deed (Conv),1,0.095,"$6,968.75",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,No,No,No,Yes,No,Yes,111110,0,213790,324900,0,0,0,"$6,968.75"
114,039-0002-0302-00,3307 S STERLING WY,1066,510,1935,06-21-2011,"$197,500",5,2,1,0,22417,WD - Warranty Deed (Conv),1,0.196,"$6,004.14",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,YES(95),No,No,Yes,No,Yes,148020,0,132720,280740,0,0,0,"$6,004.14"
115,039-0002-0317-00,3335 DE FOREST DR,1012,510,1937,02-24-2011,"$170,000",5,2,1,0,218186,WD - Warranty Deed (Conv),1,0.074,"$4,953.05",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,No,No,No,Yes,No,Yes,109820,0,121800,231620,0,0,0,"$4,953.05"
126,039-0002-0353-00,3307 DE FOREST DR,1012,510,1937,06-16-2011,"$178,500",5,2,1,0,334491,WD - Warranty Deed (Conv),1,0.084,"$5,663.47",69.301606,CINCINNATI CSD,01007 - OAKLEY 07,No,No,No,Yes,No,Yes,105940,0,159060,265000,0,0,0,"$5,663.47"
127,039-0002-0578-00,13 GREENHOUSE LN,1271,550,1984,07-26-2011,"$275,000",5,2,3,0,,WE - Warranty Deed (EX),1,0.000,"$7,914.70",69.301606,CINCINNATI CSD,01006 - GREENHOUSE CONDO,No,No,No,No,No,No,55000,0,302290,357290,0,0,0,"$7,914.70"
128,040-0002-0032-00,3739 DRAKE AVE,1300,510,1902,05-24-2011,"$225,500",6,2,1,0,342359,SV - Survivorship Deed (Conv),1,0.203,"$7,024.98",69.301606,CINCINNATI CSD,01003 - OAKLEY 03,No,No,No,Yes,No,Yes,197090,0,131270,328360,0,0,0,"$7,024.98"
129,040-0005-0016-00,3626 MONTEITH AVE,848,510,1910,06-20-2011,"$100,000",4,2,1,0,22381,WD - Warranty Deed (Conv),1,0.069,"$4,306.12",69.301606,CINCINNATI CSD,00900 - HYDE PARK,No,No,No,Yes,No,Yes,127180,0,74350,201530,0,0,0,"$4,306.12"
130,040-0005-0163-00,3619 HYDE PARK AVE,948,510,1922,06-28-2011,"$147,500",6,2,1,0,,QE - Quit Claim Deed (EX),1,0.093,"$6,071.24",69.301606,CINCINNATI CSD,00900 - HYDE PARK,No,No,No,No,No,Yes,175880,0,97580,273460,0,0,0,"$6,071.24"
131,040-0005-0174-00,2840 HYDE PARK PL,1128,510,1927,06-23-2011,"$181,300",5,2,1,0,363852,WD - Warranty Deed (Conv),1,0.083,"$5,836.46",69.301606,CINCINNATI CSD,00900 - HYDE PARK,No,No,No,Yes,No,No,167510,0,106080,273590,0,0,0,"$5,836.46"
132,040-0A02-0048-00,3874 HYDE PARK AVE,936,510,1908,06-06-2011,"$176,550",5,2,1,0,285062,WD - Warranty Deed (Conv),1,0.106,"$4,917.74",69.301606,CINCINNATI CSD,01002 - OAKLEY 02,YES(09),No,No,Yes,No,Yes,122210,0,107790,230000,0,0,0,"$2,463.66"
133,042-0004-0048-00,3576 VISTA AVE,1070,510,1925,08-25-2011,"$159,000",5,2,1,0,329240,WD - Warranty Deed (Conv),1,0.124,"$6,341.78",69.301606,CINCINNATI CSD,00930 - HYDE PARK 30,No,No,No,No,No,Yes,105420,0,174480,279900,0,0,0,"$6,341.78"
134,042-0010-0022-00,2449 DOWNING DR,946,510,1949,02-04-2011,"$167,500",7,3,1,1,89026,SV - Survivorship Deed (Conv),1,0.144,"$5,754.87",69.301606,CINCINNATI CSD,00905 - HYDE PARK 05,No,No,No,No,No,Yes,98420,0,160820,259240,0,0,0,"$5,754.87"
135,043-0003-0072-00,1308 GRACE AVE,1248,510,1920,04-18-2011,"$220,000",6,3,1,0,96644,WD - Warranty Deed (Conv),1,0.129,"$7,004.77",69.301606,CINCINNATI CSD,00900 - HYDE PARK,No,No,No,Yes,No,Yes,196460,0,131520,327980,0,0,0,"$7,004.76"
146,044-0001-0103-00,805 19 DELTA AVE,962,550,1969,03-17-2011,"$101,000",3,2,1,0,18134,WD - Warranty Deed (Conv),1,0.000,"$3,152.31",69.301606,CINCINNATI CSD,00604 - ALPINE HAUS CONDO,YES(00),No,No,Yes,No,Yes,23000,0,124700,147700,0,0,0,"$3,152.31"
147,044-0003-0152-00,3219 1 CLOSE CT,1080,550,1980,03-31-2011,"$120,000",5,2,2,1,295635,WD - Warranty Deed (Conv),1,0.000,"$5,361.64",69.301606,CINCINNATI CSD,00614 - RAVINIA CONDO,No,No,No,Yes,No,Yes,42000,0,208000,250000,0,0,0,"$5,361.64"
148,044-0003-0157-00,3233 CLOSE CT,1080,550,1980,07-14-2011,"$124,000",5,2,2,1,340857,TR - Trustees Deed (Conv),1,0.000,"$5,245.90",69.301606,CINCINNATI CSD,00614 - RAVINIA CONDO,No,No,No,Yes,No,Yes,42000,0,202580,244580,0,0,0,"$5,245.90"
149,044-0004-0005-00,1126 PRISCILLA LN,1036,510,1930,04-04-2011,"$177,000",5,2,1,0,174505,SV - Survivorship Deed (Conv),1,0.118,"$5,964.04",69.301606,CINCINNATI CSD,00600 - MT LOOKOUT,YES(95),No,No,No,No,No,107080,0,162140,269220,0,0,0,"$5,964.04"
150,044-0004-0073-00,3041 KINMONT ST,952,510,1930,04-25-2011,"$194,500",5,2,1,0,232524,WD - Warranty Deed (Conv),1,0.109,"$5,702.51",69.301606,CINCINNATI CSD,00600 - MT LOOKOUT,No,No,No,Yes,No,Yes,102340,0,164510,266850,0,0,0,"$5,702.51"
151,044-0004-0080-00,3049 KINMONT ST,1059,510,1932,07-14-2011,"$205,000",6,2,1,0,209116,WD - Warranty Deed (Conv),1,0.108,"$5,737.21",69.301606,CINCINNATI CSD,00600 - MT LOOKOUT,No,No,No,Yes,No,Yes,102340,0,166150,268490,0,0,0,"$5,737.21"
152,045-0002-0037-00,819 ELLISON AVE,1194,510,1924,07-07-2011,"$135,750",5,2,1,1,115269,WD - Warranty Deed (Conv),1,0.115,"$4,116.97",69.301606,CINCINNATI CSD,00600 - MT LOOKOUT,No,No,No,Yes,No,Yes,118590,0,176170,294760,0,102420,0,"$4,116.97"
153,045-0002-0040-00,820 ELLISON AVE,1065,510,1925,05-02-2011,"$160,000",5,2,1,0,361009,QE - Quit Claim Deed (EX),1,0.115,"$5,506.85",69.301606,CINCINNATI CSD,00600 - MT LOOKOUT,No,No,No,Yes,No,Yes,118590,0,138430,257020,0,0,0,"$5,506.85"
154,046-0003-0184-00,2770 SARITA PL,1210,510,1917,05-31-2011,"$217,500",6,3,1,0,265258,QE - Quit Claim Deed (EX),1,0.083,"$7,642.15",69.301606,CINCINNATI CSD,00900 - HYDE PARK,No,Yes,No,No,No,Yes,181470,0,162860,344330,0,0,0,"$7,642.15"
155,046-0007-0086-00,1208 MERIWEATHER AVE,1260,510,1958,03-14-2011,"$185,000",5,2,1,0,17963,WD - Warranty Deed (Conv),1,0.142,"$6,050.93",69.301606,CINCINNATI CSD,00600 - MT LOOKOUT,No,No,No,Yes,No,Yes,130430,0,152480,282910,0,0,0,"$6,050.93"
166,048-0001-0061-00,2124 HERRICK AVE,960,510,1890,04-26-2011,"$109,500",4,2,1,0,284173,WD - Warranty Deed (Conv),1,0.026,"$4,112.65",69.301606,CINCINNATI CSD,00904 - HYDE PARK 04,No,No,No,Yes,No,Yes,63770,0,128730,192500,0,0,0,"$4,112.65"
167,049-0004-0069-00,4220 THIRTY-FIRST AVE,1164,510,1915,04-06-2011,"$162,000",7,3,2,1,335786,WD - Warranty Deed (Conv),1,0.128,"$3,667.86",69.301606,CINCINNATI CSD,01000 - OAKLEY,No,No,No,No,No,Yes,110850,0,351150,462000,0,297000,0,"$3,667.86"
168,050-0002-0116-00,4230 BROWNWAY AVE,1096,510,1913,05-19-2011,"$130,500",5,2,2,0,304178,WD - Warranty Deed (Conv),1,0.093,"$7,412.12",69.301606,CINCINNATI CSD,01000 - OAKLEY,No,No,No,Yes,No,Yes,94650,0,252350,347000,0,0,0,"$7,412.12"
169,050-0005-0131-00,4037 PAXTON AVE,1217,510,1950,03-25-2011,"$135,900",5,3,1,0,318919,WD - Warranty Deed (Conv),1,0.077,"$5,534.13",69.301606,CINCINNATI CSD,01000 - OAKLEY,No,No,No,Yes,No,Yes,94510,0,164490,259000,0,0,0,"$5,534.13"
170,050-0007-0005-00,4198 MARBURG AVE,1162,510,1923,05-02-2011,"$178,000",7,2,1,0,254301,WD - Warranty Deed (Conv),1,0.099,"$5,500.59",69.301606,CINCINNATI CSD,01000 - OAKLEY,No,No,No,Yes,No,Yes,100560,0,156440,257000,0,0,0,"$5,500.59"
171,050-0007-0066-00,3323 BROTHERTON RD,1066,510,1920,04-08-2011,"$122,500",6,2,2,0,139133,WD - Warranty Deed (Conv),2,0.062,"$5,731.34",69.301606,CINCINNATI CSD,01000 - OAKLEY,No,No,No,Yes,No,Yes,71980,0,196330,268310,0,0,0,"$5,731.34"
172,050-0007-0231-00,4121 CLUB VIEW DR,1298,510,1940,03-09-2011,"$181,000",5,3,2,0,239324,WD - Warranty Deed (Conv),1,0.115,"$6,625.51",69.301606,CINCINNATI CSD,01001 - OAKLEY 01,YES(11),No,No,Yes,No,Yes,140370,0,169630,310000,0,0,0,"$6,625.51"
173,051-0002-0107-00,3512 HARROW AVE,993,510,1939,08-31-2011,"$148,500",6,2,1,0,198770,WD - Warranty Deed (Conv),1,0.105,"$4,679.88",69.301606,CINCINNATI CSD,01000 - OAKLEY,No,No,No,Yes,No,Yes,103610,0,115170,218780,106780,0,0,"$4,679.88"
174,051-0009-0013-00,3810 BROTHERTON RD,876,510,1937,03-11-2011,"$123,500",5,2,1,1,296919,QE - Quit Claim Deed (EX),1,0.097,"$4,198.60",69.301606,CINCINNATI CSD,01000 - OAKLEY,No,No,No,Yes,No,Yes,93680,0,102700,196380,0,0,0,"$4,198.60"
175,061-0002-0184-00,2700 3 ASHLAND AVE,1118,550,1901,05-19-2011,"$313,092",5,2,2,0,322934,WD - Warranty Deed (Conv),1,0.000,"$5,183.22",69.301606,CINCINNATI CSD,01536 - SCHOOLHOUSE LOFTS CONDO,No,No,No,Yes,No,Yes,39800,0,202700,242500,240500,0,0,"$5,183.22"
186,061-0002-0185-00,2700 4 ASHLAND AVE,1118,550,1901,05-19-2011,"$313,092",5,2,2,0,272961,QE - Quit Claim Deed (EX),1,0.000,"$4,606.92",69.301606,CINCINNATI CSD,01536 - SCHOOLHOUSE LOFTS CONDO,No,No,No,Yes,No,Yes,39800,0,175690,215490,213490,0,0,"$4,606.92"
187,061-0002-0190-00,2700 24 ASHLAND AVE,1118,550,1901,05-19-2011,"$313,092",5,2,2,0,34890,WD - Warranty Deed (Conv),1,0.000,"$4,606.92",69.301606,CINCINNATI CSD,01536 - SCHOOLHOUSE LOFTS CONDO,No,No,No,Yes,No,Yes,39800,0,175690,215490,213390,0,0,"$4,606.92"
188,061-0002-0199-00,2700 41 ASHLAND AVE,1118,550,1901,03-07-2011,"$128,000",5,2,2,0,268093,WD - Warranty Deed (Conv),1,0.000,"$4,909.70",69.301606,CINCINNATI CSD,01536 - SCHOOLHOUSE LOFTS CONDO,No,No,No,Yes,No,Yes,39800,0,190200,230000,227400,0,0,"$4,909.70"
189,063-0003-0260-00,2356 57 PARK AVE,1242,550,1906,07-12-2011,"$189,900",5,2,1,1,290741,WD - Warranty Deed (Conv),1,0.000,"$5,542.30",69.301606,CINCINNATI CSD,01539 - VERONA HIST. RES. CONDO,No,No,No,No,No,Yes,40500,0,209500,250000,224510,0,0,"$5,542.30"
190,063-0003-0263-00,2356 54 PARK AVE,1283,550,1906,06-16-2011,"$190,050",5,2,1,1,106831,WD - Warranty Deed (Conv),1,0.000,"$4,498.60",69.301606,CINCINNATI CSD,01539 - VERONA HIST. RES. CONDO,No,Yes,No,No,No,Yes,40500,0,162390,202890,177400,0,0,"$4,498.60"
191,063-0004-0211-00,1027 WINDSOR ST,1162,555,1989,06-07-2011,"$143,281",5,2,2,1,201546,WD - Warranty Deed (Conv),1,0.036,"$5,074.14",69.301606,CINCINNATI CSD,01526 - WINDSOR COURT LANDO,YES(21),No,No,No,No,No,30600,0,198460,229060,0,0,0,"$5,074.14"
