,parcel_number,address,finsqft,use,year_built,transfer_date,amount,total_rooms,bedrooms,full_baths,half_baths,conveyance_number,deed_type,num_parcels_sold,acreage,annual_tax,effective_tax_rate,school_district,appraisal_area,board_of_revision,rental_registration,homestead,owner_occupancy_credit,foreclosure,special_assessments,market_land_value,cauv_value,market_improvement_value,market_total_value,tif_value,abated_value,exempt_value,taxes_paid,ST_NUM,APT_NUM,ST_NAME,new_address,latitude,longitude,num_amount,year,month,missing_house_number,corrected_address,city
10,525-0010-0056-00,"7806 Dee St, Cincinnati, OH 45243, USA",1402,510,1951,04-24-2013,"$122,501",6,3,4,0,64514.0,WD - Warranty Deed (Conv),1,0.162,"$7,320.36",65.284164,MADEIRA CSD,52501 - MADEIRA 01,YES(14),No,No,Yes,No,Yes,113680,0,246860,360540,0,0,0,"$3,661.92",7806,,Dee St,7806 Dee St,39.198929,-84.3599966,122501,2013,4,7806.0,,Cincinnati
11,525-0010-0056-00,"7806 Dee St, Cincinnati, OH 45243, USA",1402,510,1951,04-24-2013,"$129,900",6,3,4,0,64514.0,WD - Warranty Deed (Conv),1,0.162,"$7,320.36",65.284164,MADEIRA CSD,52501 - MADEIRA 01,YES(14),No,No,Yes,No,Yes,113680,0,246860,360540,0,0,0,"$3,661.92",7806,,Dee St,7806 Dee St,39.198929,-84.3599966,129900,2013,4,7806.0,,Cincinnati
12,525-0010-0169-00,"7912 Locust Ln, Cincinnati, OH 45243, USA",1258,510,1953,05-28-2013,"$190,000",6,4,2,0,346386.0,WD - Warranty Deed (Conv),1,0.162,"$7,348.80",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,113680,0,248250,361930,0,0,0,"$3,676.14",7912,,Locust Ln,7912 Locust Ln,39.1996739,-84.3570866,190000,2013,5,7912.0,,Cincinnati
13,525-0012-0132-00,"7817 Buckeye Crescent, Cincinnati, OH 45243, USA",1188,510,1955,04-11-2013,"$183,000",5,3,2,0,89066.0,WD - Warranty Deed (Conv),1,0.165,"$6,386.04",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,114840,0,199270,314110,0,0,0,"$3,194.76",7817,,Buckeye Crescent,7817 Buckeye Crescent,39.20270319999999,-84.3588199,183000,2013,4,7817.0,,Cincinnati
14,525-0016-0097-00,"6664 Apache Cir, Cincinnati, OH 45243, USA",1292,510,1958,04-12-2013,"$178,700",5,2,1,1,48900.0,TR - Trustees Deed (Conv),1,0.276,"$5,464.90",65.284164,MADEIRA CSD,52515 - MADEIRA 15,YES(14),No,Yes,Yes,No,Yes,136040,0,159450,295490,0,0,0,"$2,735.93",6664,,Apache Cr,6664 Apache Cr,39.1830716,-84.37826539999999,178700,2013,4,6664.0,,Cincinnati
15,592-0002-0212-00,"41 E Charlotte Ave, Cincinnati, OH 45215, USA",1310,510,1926,05-07-2013,"$127,000",7,3,1,0,103298.0,WD - Warranty Deed (Conv),1,0.193,"$4,001.16",61.983774,WYOMING CSD,59216 - WYOMING 16,No,No,No,Yes,No,No,46060,0,162680,208740,0,0,0,"$2,000.58",41,,E Charlotte Ave,41 E Charlotte Ave,39.240025,-84.46966379999999,127000,2013,5,41.0,,Cincinnati
16,592-0002-0215-00,"1333 N Park Ave, Cincinnati, OH 45215, USA",1488,510,1967,06-27-2013,"$189,900",5,3,2,1,243686.0,QE - Quit Claim Deed (EX),1,0.527,"$5,827.58",61.983774,WYOMING CSD,59216 - WYOMING 16,No,No,No,Yes,No,No,48600,0,255430,304030,0,0,0,"$2,913.79",1333,,N Park Ave,1333 N Park Ave,39.237596,-84.46751139999999,189900,2013,6,1333.0,,Cincinnati
17,592-0012-0075-00,"5 Walnut Ave, Cincinnati, OH 45215, USA",1264,510,1920,06-27-2013,"$234,500",8,3,2,0,53190.0,WD - Warranty Deed (Conv),1,0.343,"$6,157.14",61.983774,WYOMING CSD,59210 - WYOMING 10,No,No,No,Yes,No,No,129110,0,191900,321010,0,0,0,"$3,078.57",5,,Walnut Ave,5 Walnut Ave,39.2227292,-84.4727795,234500,2013,6,5.0,,Cincinnati
18,592-0013-0202-00,"352 Ridgeway Ave, Wyoming, OH 45215",1355,510,1948,06-21-2013,"$124,500",7,4,2,1,52863.0,TR - Trustees Deed (Conv),1,0.167,"$4,226.24",61.983774,WYOMING CSD,59218 - WYOMING 18,No,No,No,Yes,No,No,52000,0,168480,220480,0,0,0,"$2,113.12",352,,Ridgeway Ave,352 Ridgeway Ave,39.2190583,-84.46597179999999,124500,2013,6,,,Wyoming
19,600-0023-0189-00,"10931 Barrington Ct, Cincinnati, OH 45242, USA",1460,550,1979,06-10-2013,"$140,000",6,3,2,2,85303.0,WD - Warranty Deed (Conv),1,0.0,"$3,682.98",49.620025,SYCAMORE CSD,60009 - MONTGOMERY TOWNE CONDO,YES(09),No,No,Yes,No,Yes,19300,0,218220,237520,0,0,0,"$3,682.98",10931,,Barrington Ct,10931 Barrington Ct,39.2641187,-84.34450079999999,140000,2013,6,10931.0,,Cincinnati
20,600-0030-0173-00,"10880 Ponds Ln, Cincinnati, OH 45242, USA",1460,550,1976,04-25-2013,"$138,000",6,3,2,2,283750.0,WD - Warranty Deed (Conv),1,0.0,"$3,179.76",49.620025,SYCAMORE CSD,60009 - MONTGOMERY TOWNE CONDO,No,No,No,Yes,No,Yes,19300,0,185700,205000,0,0,0,"$1,592.90",10880,,Ponds Ln,10880 Ponds Ln,39.26277779999999,-84.3412208,138000,2013,4,10880.0,,Cincinnati
21,600-0030-0180-00,"10879 Ponds Ln, Cincinnati, OH 45242, USA",1254,550,1979,05-22-2013,"$110,000",5,2,1,1,126934.0,WD - Warranty Deed (Conv),1,0.0,"$2,732.78",49.620025,SYCAMORE CSD,60009 - MONTGOMERY TOWNE CONDO,No,No,No,Yes,No,Yes,19300,0,156840,176140,0,0,0,"$1,369.41",10879,,Ponds Ln,10879 Ponds Ln,39.2628187,-84.3417475,110000,2013,5,10879.0,,Cincinnati
22,600-0030-0270-00,"10831 Lakehurst Ct, Cincinnati, OH 45242, USA",1254,550,1977,06-05-2013,"$140,000",5,2,2,1,270330.0,WD - Warranty Deed (Conv),1,0.0,"$2,330.03",49.620025,SYCAMORE CSD,60009 - MONTGOMERY TOWNE CONDO,No,No,No,Yes,No,Yes,19300,0,130700,150000,0,0,0,"$1,167.36",10831,,Lakehurst Ct,10831 Lakehurst Ct,39.262001,-84.34452,140000,2013,6,10831.0,,Cincinnati
23,600-0030-0347-00,"10864 Lake Thames Dr, Cincinnati, OH 45242, USA",1082,550,1979,05-23-2013,"$113,000",5,2,1,1,51023.0,WD - Warranty Deed (Conv),1,0.0,"$2,556.48",49.620025,SYCAMORE CSD,60009 - MONTGOMERY TOWNE CONDO,No,No,No,Yes,No,Yes,19300,0,145420,164720,0,0,0,"$1,281.26",10864,,Lake Thames Dr,10864 Lake Thames Dr,39.261933,-84.345626,113000,2013,5,10864.0,,Cincinnati
24,600-0030-0377-00,"10948 Barrington Ct, Cincinnati, OH 45242, USA",969,550,1979,05-17-2013,"$128,919",5,2,2,0,50799.0,WD - Warranty Deed (Conv),1,0.0,"$2,294.72",49.620025,SYCAMORE CSD,60009 - MONTGOMERY TOWNE CONDO,No,No,No,Yes,No,Yes,19300,0,128510,147810,0,0,0,"$1,150.38",10948,,Barrington Ct,10948 Barrington Ct,39.2636754,-84.3437008,128919,2013,5,10948.0,,Cincinnati
25,603-0001-0145-00,"9709 Bunker Hill Ln, Montgomery, OH 45242, USA",1368,550,1970,05-17-2013,"$111,000",6,3,2,1,50795.0,WD - Warranty Deed (Conv),1,0.0,"$3,753.61",55.899522,SYCAMORE CSD,60322 - TOLLGATE CONDO,YES(24),No,No,Yes,No,Yes,20000,0,193360,213360,0,0,0,"$1,877.72",9709,,Bunker Hill Ln,9709 Bunker Hill Ln,39.2321386,-84.3541022,111000,2013,5,9709.0,,Montgomery
26,603-0006-0013-00,"9557 Delray Dr, Cincinnati, OH 45242, USA",1083,510,1951,05-28-2013,"$163,000",4,2,1,0,219125.0,WE - Warranty Deed (EX),5,0.488,"$4,279.95",55.899522,SYCAMORE CSD,60315 - MONTGOMERY 15,No,Yes,No,No,No,Yes,141190,0,94420,235610,0,0,0,"$2,142.27",9557,,Delray Dr,9557 Delray Dr,39.2301902,-84.3686215,163000,2013,5,9557.0,,Cincinnati
27,603-0010-0034-00,"7845 Pfeiffer Rd, Cincinnati, OH 45242, USA",1324,510,1960,06-27-2013,"$225,000",6,3,2,0,53146.0,WD - Warranty Deed (Conv),1,0.458,"$6,425.99",55.899522,SYCAMORE CSD,60305 - MONTGOMERY 05,YES(03),No,No,Yes,No,Yes,126540,0,238650,365190,0,0,0,"$3,215.29",7845,,Pfeiffer Rd,7845 Pfeiffer Rd,39.2482534,-84.3526645,225000,2013,6,7845.0,,Cincinnati
28,603-0015-0073-00,"10539 Cinderella Dr, Cincinnati, OH 45242, USA",1325,510,1958,05-07-2013,"$191,500",5,3,2,0,303308.0,WD - Warranty Deed (Conv),1,0.517,"$8,090.60",55.899522,SYCAMORE CSD,60305 - MONTGOMERY 05,No,No,No,Yes,No,Yes,135790,0,324210,460000,0,0,0,"$4,046.45",10539,,Cinderella Dr,10539 Cinderella Dr,39.25269110000001,-84.36369309999999,191500,2013,5,10539.0,,Cincinnati
29,603-0018-0278-00,"10555 Montgomery Rd APT 100, Montgomery, OH 45242, USA",1460,550,1989,04-10-2013,"$125,000",6,2,2,1,48789.0,SV - Survivorship Deed (Conv),1,0.0,"$4,270.57",55.899522,SYCAMORE CSD,60336 - MAYFAIR OF MONTGOMERY CONDO,No,No,No,No,No,Yes,19000,0,207500,226500,0,0,0,"$2,056.82",10555,100,Montgomery Rd,10555 Montgomery Rd 100,39.2538627,-84.34607650000001,125000,2013,4,10555.0,,Montgomery
30,603-0022-0043-00,"5335 Cooper Rd, Montgomery, OH 45242, USA",1274,550,1995,05-21-2013,"$112,000",5,2,2,0,183843.0,WD - Warranty Deed (Conv),1,0.0,"$3,621.45",55.899522,SYCAMORE CSD,60321 - COOPER CREEK CONDO,YES(14),No,No,Yes,No,Yes,25000,0,180860,205860,0,0,0,$0.00,5335,,H Cooper Rd,5335 H Cooper Rd,39.227282,-84.3718985,112000,2013,5,5335.0,,Montgomery
31,612-0030-0239-00,"9082 Kenwood Rd, Cincinnati, OH 45242, USA",1234,510,1956,06-07-2013,"$170,000",6,3,2,0,211138.0,WD - Warranty Deed (Conv),1,0.488,"$3,918.43",47.604103,SYCAMORE CSD,61201 - BLUE ASH 01,No,No,No,Yes,No,Yes,59900,0,203110,263010,0,0,0,"$1,962.24",9082,,Kenwood Rd,9082 Kenwood Rd,39.2228672,-84.37747089999999,170000,2013,6,9082.0,,Cincinnati
32,612-0040-0215-00,"4841 Myrtle Ave, Cincinnati, OH 45242, USA",840,510,1938,06-25-2013,"$144,000",5,2,1,0,53030.0,WD - Warranty Deed (Conv),1,0.173,"$3,317.90",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,No,No,No,No,Yes,84000,0,131600,215600,0,0,0,"$1,660.46",4841,,Myrtle Ave,4841 Myrtle Ave,39.2317521,-84.3751391,144000,2013,6,4841.0,,Cincinnati
33,612-0040-0424-00,"9491 Wynnecrest Dr, Cincinnati, OH 45242, USA",1064,510,1958,05-29-2013,"$161,500",6,3,2,0,51267.0,WD - Warranty Deed (Conv),1,0.261,"$4,352.83",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,Yes,No,No,No,Yes,97020,0,185680,282700,0,0,0,$0.00,9491,,Wynnecrest Dr,9491 Wynnecrest Dr,39.2293548,-84.3735288,161500,2013,5,9491.0,,Cincinnati
34,612-0050-0207-00,"4630 Miller Rd, Cincinnati, OH 45242, USA",1073,510,1959,05-08-2013,"$129,000",5,3,2,0,50173.0,WD - Warranty Deed (Conv),1,0.316,"$3,440.85",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,Yes,No,No,No,Yes,96600,0,126790,223390,0,0,0,"$1,723.45",4630,,Miller Rd,4630 Miller Rd,39.234117,-84.380516,129000,2013,5,4630.0,,Cincinnati
35,612-0060-0250-00,"4742 Alpine Ave, Cincinnati, OH 45242, USA",1122,510,1956,06-04-2013,"$100,000",6,3,1,0,51695.0,WD - Warranty Deed (Conv),1,0.222,"$3,590.79",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,No,No,Yes,No,Yes,93240,0,147430,240670,0,0,0,"$1,798.42",4742,,Alpine Ave,4742 Alpine Ave,39.2236039,-84.37931859999999,100000,2013,6,4742.0,,Cincinnati
36,612-0060-0289-00,"4721 Belleview Ave, Cincinnati, OH 45242, USA",1192,510,1950,06-07-2013,"$164,000",6,3,2,0,89915.0,WD - Warranty Deed (Conv),1,0.414,"$4,632.33",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,No,No,Yes,No,Yes,111090,0,199620,310710,0,0,0,"$2,319.19",4721,,Belleview Ave,4721 Belleview Ave,39.2218211,-84.3792776,164000,2013,6,4721.0,,Cincinnati
37,612-0070-0023-00,"4443 Hunt Rd, Cincinnati, OH 45242, USA",1088,510,1952,04-23-2013,"$110,000",6,4,1,0,230899.0,WD - Warranty Deed (Conv),1,0.165,"$3,478.68",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,YES(13),Yes,No,No,No,Yes,83160,0,142880,226040,0,0,0,"$1,740.85",4443,,Hunt Rd,4443 Hunt Rd,39.2293947,-84.3875814,110000,2013,4,4443.0,,Cincinnati
38,612-0070-0124-00,"4358 Victor Ave, Cincinnati, OH 45242, USA",1440,510,1953,06-11-2013,"$108,000",7,4,2,0,61525.0,WD - Warranty Deed (Conv),1,0.138,"$3,481.09",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,No,No,Yes,No,Yes,75600,0,157960,233560,0,0,0,"$1,743.57",4358,,Victor Ave,4358 Victor Ave,39.2293102,-84.39023960000002,108000,2013,6,4358.0,,Cincinnati
39,612-0100-0092-00,"3548 Lobelia Dr, Cincinnati, OH 45241, USA",1320,510,1958,06-28-2013,"$200,000",6,4,2,0,53260.0,WD - Warranty Deed (Conv),1,0.565,"$3,679.03",47.604103,SYCAMORE CSD,61205 - BLUE ASH 05,No,No,No,Yes,No,Yes,56840,0,190220,247060,0,0,0,"$1,842.54",3548,,Lobelia Dr,3548 Lobelia Dr,39.232931,-84.412657,200000,2013,6,3548.0,,Cincinnati
40,612-0121-0042-00,"9931 Timbers Dr, Cincinnati, OH 45242, USA",1158,555,1979,05-20-2013,"$142,000",5,2,3,0,50849.0,WD - Warranty Deed (Conv),1,0.026,"$3,125.84",47.604103,SYCAMORE CSD,61212 - TIMBERS LANDO,No,No,No,Yes,No,Yes,28000,0,182040,210040,0,0,0,"$1,564.13",9931,,Timbers Dr,9931 Timbers Dr,39.2393624,-84.3946804,142000,2013,5,9931.0,,Cincinnati
41,612-0121-0079-00,"9938 Timbers Dr, Cincinnati, OH 45242, USA",1254,555,1979,06-20-2013,"$113,500",5,2,2,1,335719.0,WD - Warranty Deed (Conv),1,0.016,"$2,724.70",47.604103,SYCAMORE CSD,61212 - TIMBERS LANDO,No,No,No,No,No,Yes,28000,0,149060,177060,0,0,0,"$1,363.56",9938,,Timbers Dr,9938 Timbers Dr,39.2398363,-84.3943525,113500,2013,6,9938.0,,Cincinnati
42,612-0190-0885-00,"11057 Wood Ave, Cincinnati, OH 45242, USA",1440,510,1994,04-22-2013,"$112,250",6,3,2,0,343510.0,WD - Warranty Deed (Conv),2,0.139,"$3,037.19",47.604103,SYCAMORE CSD,61210 - BLUE ASH 10,No,Yes,No,Yes,No,Yes,24230,0,179650,203880,0,0,0,"$1,521.62",11057,,Wood Ave,11057 Wood Ave,39.2660333,-84.3715167,112250,2013,4,11057.0,,Cincinnati
43,620-0201-0095-00,"12012 Snider Rd, Cincinnati, OH 45249, USA",1472,510,1956,04-08-2013,"$140,000",6,3,1,1,48658.0,WD - Warranty Deed (Conv),1,0.481,"$4,354.79",53.799505,SYCAMORE CSD,62009 - SYMMES 09,No,No,No,Yes,No,Yes,80000,0,177530,257530,0,0,0,"$2,184.96",12012,,Snider Rd,12012 Snider Rd,39.2886911,-84.3341824,140000,2013,4,12012.0,,Cincinnati
44,620-0201-0097-00,"11984 Snider Rd, Cincinnati, OH 45249, USA",1063,510,1956,05-02-2013,"$150,000",5,3,2,0,282778.0,WD - Warranty Deed (Conv),1,0.53,"$4,805.13",53.799505,SYCAMORE CSD,62009 - SYMMES 09,No,No,No,No,No,Yes,80000,0,195100,275100,0,0,0,"$2,410.13",11984,,Snider Rd,11984 Snider Rd,39.2879262,-84.33429939999999,150000,2013,5,11984.0,,Cincinnati
45,620-0204-0083-00,"11811 Vauk Valley Ln, Cincinnati, OH 45249, USA",1338,550,1986,05-28-2013,"$160,000",5,3,3,0,125847.0,WD - Warranty Deed (Conv),1,0.0,"$5,064.54",53.799505,SYCAMORE CSD,62012 - SYCAMORE GLEN CONDO,No,No,No,Yes,No,Yes,36000,0,264210,300210,0,0,0,"$2,535.29",11811,,Vaukvalley Ln,11811 Vaukvalley Ln,39.2812674,-84.3200449,160000,2013,5,11811.0,,Cincinnati
46,620-0204-0093-00,"11720 Gable Glen Ln, Cincinnati, OH 45249, USA",1336,550,1987,04-09-2013,"$104,000",5,2,3,0,299754.0,QU - Quit Claim Deed (Conv),1,0.0,"$4,637.82",53.799505,SYCAMORE CSD,62012 - SYCAMORE GLEN CONDO,YES(14),No,No,Yes,No,Yes,36000,0,238530,274530,0,0,0,"$2,321.93",11720,,Gable Glen Ln,11720 Gable Glen Ln,39.284205,-84.31875099999999,104000,2013,4,11720.0,,Cincinnati
47,620-0204-0244-00,"11760 Gable Glen Ln #602, Cincinnati, OH 45249, USA",1481,550,1993,05-08-2013,"$155,500",6,2,3,1,185145.0,WD - Warranty Deed (Conv),1,0.0,"$5,028.36",53.799505,SYCAMORE CSD,62012 - SYCAMORE GLEN CONDO,No,No,No,Yes,No,Yes,36000,0,261830,297830,0,0,0,"$2,517.20",11760,602,Gable Glen Ln,11760 Gable Glen Ln 602,39.284323,-84.32023769999999,155500,2013,5,11760.0,,Cincinnati
48,525-0001-0025-00,"7348 Miami Ave, Cincinnati, OH 45243, USA",1066,510,1967,06-09-2014,"$108,000",6,3,2,0,230345.0,QE - Quit Claim Deed (EX),1,0.221,"$7,614.36",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,127600,0,247260,374860,0,0,0,"$3,810.66",7348,,Miami Ave,7348 Miami Ave,39.1950529,-84.3622683,108000,2014,6,7348.0,,Cincinnati
49,525-0001-0092-00,"7414 Juler Ave, Cincinnati, OH 45243, USA",1378,510,1938,04-02-2014,"$190,000",7,3,1,1,325376.0,WD - Warranty Deed (Conv),1,0.224,"$7,977.80",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,Yes,No,Yes,No,Yes,127600,0,264900,392500,0,0,0,"$3,992.38",7414,,Juler Ave,7414 Juler Ave,39.1957121,-84.36056289999999,190000,2014,4,7414.0,,Cincinnati
50,525-0001-0107-00,"7312 Juler Ave, Cincinnati, OH 45243, USA",1316,510,1924,06-20-2014,"$217,000",6,2,1,0,70195.0,WD - Warranty Deed (Conv),1,0.0,"$7,134.22",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,191400,0,159600,351000,0,0,0,"$3,568.85",7312,,Juler Ave,7312 Juler Ave,39.19361740000001,-84.3610107,217000,2014,6,7312.0,,Cincinnati
51,525-0001-0136-00,"7866 Euclid Ave, Cincinnati, OH 45243, USA",1477,510,1941,06-06-2014,"$157,000",7,4,1,0,298637.0,WD - Warranty Deed (Conv),1,0.198,"$5,242.84",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,125280,0,132720,258000,0,0,0,"$2,624.90",7866,,Euclid Ave,7866 Euclid Ave,39.1910357,-84.3575321,157000,2014,6,7866.0,,Cincinnati
52,525-0001-0233-00,"7262 Thomas Dr, Cincinnati, OH 45243, USA",832,510,1951,06-16-2014,"$139,000",4,2,1,0,69839.0,WD - Warranty Deed (Conv),1,0.192,"$5,478.98",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,123770,0,145730,269500,0,0,0,"$2,742.97",7262,,Thomas Dr,7262 Thomas Dr,39.195449,-84.35709500000002,139000,2014,6,7262.0,,Cincinnati
53,525-0001-0355-00,"7279 Berwood Dr, Cincinnati, OH 45243, USA",1075,510,1953,06-09-2014,"$163,000",5,3,1,0,326227.0,WE - Warranty Deed (EX),1,0.186,"$5,568.72",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,122500,0,151540,274040,0,0,0,"$2,787.84",7279,,Berwood Dr,7279 Berwood Dr,39.1970261,-84.3586981,163000,2014,6,7279.0,,Cincinnati
54,525-0001-0365-00,"7254 Jethve Ln, Cincinnati, OH 45243, USA",1385,510,1954,06-20-2014,"$254,500",7,4,2,0,70166.0,WD - Warranty Deed (Conv),1,0.186,"$6,669.24",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,122500,0,205930,328430,0,0,0,"$3,336.36",7254,,Jethve Ln,7254 Jethve Ln,39.194916,-84.3594832,254500,2014,6,7254.0,,Cincinnati
55,525-0003-0089-00,"7100 Wallace Ave, Cincinnati, OH 45243, USA",1066,510,1926,04-17-2014,"$201,500",5,3,2,0,66669.0,WD - Warranty Deed (Conv),1,0.161,"$6,082.14",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,112520,0,186570,299090,0,0,0,"$3,044.55",7100,,Wallace Ave,7100 Wallace Ave,39.189232,-84.36524349999999,201500,2014,4,7100.0,,Cincinnati
56,525-0003-0122-00,"7009 Wallace Ave, Cincinnati, OH 45243, USA",978,510,1925,04-22-2014,"$139,000",5,2,1,1,121168.0,WD - Warranty Deed (Conv),1,0.16,"$5,903.54",65.284164,MADEIRA CSD,52501 - MADEIRA 01,YES(12),No,No,Yes,No,Yes,112520,0,177790,290310,0,0,0,"$2,955.25",7009,,Wallace Ave,7009 Wallace Ave,39.1883094,-84.36605469999999,139000,2014,4,7009.0,,Cincinnati
57,525-0007-0146-00,"7324 Iuka Ave, Cincinnati, OH 45243, USA",1372,510,1948,05-13-2014,"$230,000",5,3,2,0,306338.0,WD - Warranty Deed (Conv),1,0.169,"$7,394.02",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,116000,0,248000,364000,0,0,0,"$3,700.49",7324,,Iuka Ave,7324 Iuka Ave,39.1965035,-84.3546362,230000,2014,5,7324.0,,Cincinnati
