,parcel_number,address,finsqft,use,year_built,transfer_date,amount,total_rooms,bedrooms,full_baths,half_baths,conveyance_number,deed_type,num_parcels_sold,acreage,annual_tax,effective_tax_rate,school_district,appraisal_area,board_of_revision,rental_registration,homestead,owner_occupancy_credit,foreclosure,special_assessments,market_land_value,cauv_value,market_improvement_value,market_total_value,tif_value,abated_value,exempt_value,taxes_paid,st_num,apt_num,street,new_address,formatted_address,longitude,latitude,num_amount,year,month,missing_house_number,city
10,525-0001-0278-00,7107 Thomas Dr,1239,510,1952,04-13-2009,"$110,000",6,3,2,0,6415.0,WD - Warranty Deed (Conv),1,0.212,"$7,200.94",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,130150,0,224330,354480,0,0,0,"$7,200.94",7107,,Thomas Dr,7107 Thomas Dr,"7107 Thomas Dr, Cincinnati, OH 45243, USA",-84.3575116,39.1918243,110000,2009,4,7107,
11,525-0001-0328-00,7286 Jethve Ln,1406,510,1953,06-22-2009,"$190,000",5,3,1,0,97263.0,WD - Warranty Deed (Conv),1,0.216,"$6,612.96",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,133630,0,192070,325700,0,0,0,"$3,308.22",7286,,Jethve Ln,7286 Jethve Ln,"7286 Jethve Ln, Cincinnati, OH 45243, USA",-84.3592367,39.1975764,190000,2009,6,7286,
12,525-0003-0072-00,7101 Maple Ave,936,510,1924,04-03-2009,"$150,000",4,2,1,0,64327.0,WD - Warranty Deed (Conv),1,0.161,"$4,779.62",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,Yes,Yes,No,Yes,112520,0,149020,261540,0,0,0,"$2,393.29",7101,,Maple Ave,7101 Maple Ave,"7101 Maple Ave, Cincinnati, OH 45243, USA",-84.36478149999999,39.1891793,150000,2009,4,7101,
13,525-0003-0379-00,7421 Euclid Ave,1159,510,1940,06-12-2009,"$195,000",5,2,2,0,23446.0,WD - Warranty Deed (Conv),1,0.159,"$6,454.12",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,113120,0,204730,317850,0,0,0,"$3,228.80",7421,,Euclid Ave,7421 Euclid Ave,"7421 Euclid Ave, Cincinnati, OH 45243, USA",-84.3656768,39.1910591,195000,2009,6,7421,
14,525-0007-0045-00,7228 Osceola Dr,1258,510,1952,05-08-2009,"$124,500",5,2,1,0,21874.0,WD - Warranty Deed (Conv),1,0.154,"$5,610.11",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,No,No,Yes,113680,0,152780,266460,0,0,0,"$2,809.93",7228,,Osceola Dr,7228 Osceola Dr,"7228 Osceola Dr, Cincinnati, OH 45243, USA",-84.3537736,39.1926151,124500,2009,5,7228,
15,525-0007-0061-00,7300 Osceola Dr,1232,510,1946,05-13-2009,"$135,000",8,5,1,1,97974.0,QE - Quit Claim Deed (EX),1,0.167,"$5,169.09",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,113680,0,140530,254210,0,0,0,"$2,589.42",7300,,Osceola Dr,7300 Osceola Dr,"7300 Osceola Dr, Cincinnati, OH 45243, USA",-84.35356139999999,39.1947617,135000,2009,5,7300,
16,525-0007-0295-00,7245 Longfield Dr,1299,510,1958,04-14-2009,"$200,000",6,3,2,1,301955.0,WD - Warranty Deed (Conv),1,0.221,"$6,240.05",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,131430,0,175570,307000,0,0,0,"$3,124.90",7245,,Longfield Dr,7245 Longfield Dr,"7245 Longfield Dr, Cincinnati, OH 45243, USA",-84.3528288,39.1954442,200000,2009,4,7245,
17,525-0009-0124-00,7341 N Mingo Ln,1155,510,1955,04-07-2009,"$175,000",6,3,1,1,20647.0,WD - Warranty Deed (Conv),1,0.258,"$5,947.94",65.284164,MADEIRA CSD,52502 - MADEIRA 02,No,No,No,Yes,No,Yes,146250,0,146490,292740,0,0,0,"$2,977.45",7341,,N Mingo Ln,7341 N Mingo Ln,"7341 N Mingo Ln, Cincinnati, OH 45243, USA",-84.3666296,39.1995938,175000,2009,4,7341,
18,525-0010-0030-00,7808 Tances Dr,1066,510,1952,04-27-2009,"$172,000",5,3,1,1,241549.0,TR - Trustees Deed (Conv),1,0.252,"$5,553.06",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,128460,0,144820,273280,0,0,0,"$2,780.01",7808,,Tances Dr,7808 Tances Dr,"7808 Tances Dr, Cincinnati, OH 45243, USA",-84.35984770000002,39.2007679,172000,2009,4,7808,
19,525-0012-0081-00,7902 Greenbriar Ln,1258,510,1954,05-14-2009,"$164,500",6,3,1,0,336756.0,WE - Warranty Deed (EX),1,0.138,"$5,499.14",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,104400,0,166390,270790,0,0,0,"$2,751.31",7902,,Greenbriar Ln,7902 Greenbriar Ln,"7902 Greenbriar Ln, Cincinnati, OH 45243, USA",-84.3577272,39.2022707,164500,2009,5,7902,
20,525-0012-0091-00,7819 Greenbriar Ln,1258,510,1954,06-16-2009,"$171,500",6,3,1,0,23543.0,WD - Warranty Deed (Conv),1,0.137,"$5,366.92",65.284164,MADEIRA CSD,52501 - MADEIRA 01,YES(24),No,No,Yes,No,Yes,104400,0,159710,264110,0,0,0,"$2,686.94",7819,,Greenbriar Ln,7819 Greenbriar Ln,"7819 Greenbriar Ln, Cincinnati, OH 45243, USA",-84.3586545,39.2019305,171500,2009,6,7819,
21,525-0016-0118-00,6513 Apache Cr,1363,510,1961,04-27-2009,"$220,000",6,3,2,0,304955.0,QE - Quit Claim Deed (EX),1,0.276,"$7,203.26",65.284164,MADEIRA CSD,52515 - MADEIRA 15,No,No,No,Yes,No,Yes,135000,0,219760,354760,0,0,0,"$3,603.37",6513,,Apache Cr,6513 Apache Cr,"6513 Apache Cir, Cincinnati, OH 45243, USA",-84.37923649999999,39.1839644,220000,2009,4,6513,
22,525-0022-0045-00,6265 Vistaridge Ln,1489,510,1958,04-10-2009,"$190,000",6,3,3,0,194207.0,WD - Warranty Deed (Conv),1,0.53,"$7,963.44",65.284164,MADEIRA CSD,52505 - MADEIRA 05,YES(09),No,No,Yes,No,Yes,115880,0,276170,392050,0,0,0,"$3,985.20",6265,,Vistaridge Ln,6265 Vistaridge Ln,"6265 Vistaridge Ln, Cincinnati, OH 45227, USA",-84.3840403,39.1652803,190000,2009,4,6265,
23,525-0024-0031-00,5709 Kenwood Rd,1152,510,1911,06-29-2009,"$123,000",5,2,1,1,257405.0,WD - Warranty Deed (Conv),1,0.607,"$5,195.61",65.284164,MADEIRA CSD,52503 - MADEIRA 03,No,No,No,Yes,No,Yes,174970,0,80030,255000,0,0,0,"$2,602.68",5709,,Kenwood Rd,5709 Kenwood Rd,"5709 Kenwood Rd, Cincinnati, OH 45243, USA",-84.3865448,39.1707885,123000,2009,6,5709,
24,525-0024-0068-00,6271 Lakota Dr,988,510,1968,04-01-2009,"$141,000",5,2,2,0,310691.0,SE - Survivorship Deed (EX),1,0.348,"$6,093.46",65.284164,MADEIRA CSD,52503 - MADEIRA 03,No,No,No,Yes,No,Yes,110480,0,189420,299900,0,0,0,"$3,050.21",6271,,Lakota Dr,6271 Lakota Dr,"6271 Lakota Dr, Cincinnati, OH 45243, USA",-84.385272,39.1742513,141000,2009,4,6271,
25,527-0030-0076-00,4202 Grove Ave,1119,510,1940,05-28-2009,"$110,000",6,3,2,1,329068.0,WD - Warranty Deed (Conv),1,0.108,"$5,158.36",71.219499,MARIEMONT CSD,52703 - MARIEMONT 03,YES(10),Yes,No,Yes,No,Yes,106390,0,125610,232000,0,0,0,"$2,581.21",4202,,Grove Ave,4202 Grove Ave,"4202 Grove Ave, Cincinnati, OH 45227, USA",-84.37298,39.1496348,110000,2009,5,4202,
26,527-0030-0129-00,6977 Grace Ave,1427,510,1945,06-15-2009,"$158,000",7,4,2,1,207397.0,WD - Warranty Deed (Conv),1,0.11,"$8,123.18",71.219499,MARIEMONT CSD,52703 - MARIEMONT 03,No,No,No,Yes,No,Yes,119690,0,245780,365470,0,0,0,"$4,063.62",6977,,Grace Ave,6977 Grace Ave,"6977 Grace Ave, Cincinnati, OH 45227, USA",-84.3725843,39.1491703,158000,2009,6,6977,
27,527-0040-0111-00,3720 Settle Rd,948,510,1938,06-18-2009,"$163,000",5,2,1,0,325229.0,TR - Trustees Deed (Conv),1,0.134,"$6,132.84",71.219499,MARIEMONT CSD,52705 - MARIEMONT 05,No,Yes,No,Yes,No,Yes,148330,0,127670,276000,0,0,0,"$3,068.45",3720,,Settle Rd,3720 Settle Rd,"3720 Settle Rd, Cincinnati, OH 45227, USA",-84.3860632,39.1451651,163000,2009,6,3720,
28,527-0040-0156-00,3840 Belmont St,1275,510,1938,06-25-2009,"$162,500",7,3,2,0,335435.0,WD - Warranty Deed (Conv),1,0.093,"$5,640.17",71.219499,MARIEMONT CSD,52705 - MARIEMONT 05,No,No,No,Yes,No,Yes,116120,0,137520,253640,0,0,0,"$2,824.15",3840,,Belmont St,3840 Belmont St,"3840 Belmont St, Cincinnati, OH 45227, USA",-84.38674999999999,39.1473405,162500,2009,6,3840,
29,592-0001-0165-00,1401 West Ave,1450,510,1950,06-24-2009,"$189,000",5,2,1,1,186748.0,WE - Warranty Deed (EX),1,0.372,"$5,263.98",61.983774,WYOMING CSD,59201 - WYOMING 01,No,No,No,No,No,No,116000,0,148740,264740,0,0,0,"$2,631.99",1401,,West Ave,1401 West Ave,"1401 West Ave, Cincinnati, OH 45215, USA",-84.4754441,39.2402585,189000,2009,6,1401,
30,592-0001-0197-00,143 Vermont Ave,1428,510,1953,06-30-2009,"$182,500",6,2,1,0,144610.0,WD - Warranty Deed (Conv),1,0.22,"$5,248.78",61.983774,WYOMING CSD,59201 - WYOMING 01,No,No,No,Yes,No,No,89540,0,184270,273810,0,0,0,"$2,624.39",143,,Vermont Ave,143 Vermont Ave,"143 Vermont Ave, Wyoming, OH 45215, USA",-84.4778898,39.2399822,182500,2009,6,143,
31,592-0013-0202-00,352 Ridgeway Ave,1355,510,1948,06-30-2009,"$135,000",7,4,2,1,52863.0,TR - Trustees Deed (Conv),1,0.167,"$4,226.24",61.983774,WYOMING CSD,59218 - WYOMING 18,No,No,No,Yes,No,No,52000,0,168480,220480,0,0,0,"$2,113.12",352,,Ridgeway Ave,352 Ridgeway Ave,"352 Ridgeway Ave, Wyoming, OH 45215, USA",-84.46597179999999,39.2190583,135000,2009,6,352,
32,600-0030-0201-00,10907 Brookgreen Ct,1082,550,1977,04-06-2009,"$100,000",5,2,1,2,174627.0,QE - Quit Claim Deed (EX),1,0.0,"$3,061.28",49.620025,SYCAMORE CSD,60009 - MONTGOMERY TOWNE CONDO,No,No,No,Yes,No,Yes,19300,0,178060,197360,0,0,0,"$3,061.28",10907,,Brookgreen Ct,10907 Brookgreen Ct,"10907 Brookgreen Ct, Cincinnati, OH 45242, USA",-84.343553,39.26294499999999,100000,2009,4,10907,
33,600-0030-0235-00,10803 Lakehurst Ct,1254,550,1977,05-01-2009,"$135,000",5,2,2,1,21576.0,WD - Warranty Deed (Conv),1,0.0,"$2,726.14",49.620025,SYCAMORE CSD,60009 - MONTGOMERY TOWNE CONDO,No,No,No,Yes,No,Yes,19300,0,156410,175710,0,0,0,"$1,366.09",10803,,Lakehurst Ct,10803 Lakehurst Ct,"10803 Lakehurst Ct, Cincinnati, OH 45242, USA",-84.34461519999999,39.2615306,135000,2009,5,10803,
34,600-0030-0270-00,10831 Lakehurst Ct,1254,550,1977,06-12-2009,"$130,000",5,2,2,1,270330.0,WD - Warranty Deed (Conv),1,0.0,"$2,330.03",49.620025,SYCAMORE CSD,60009 - MONTGOMERY TOWNE CONDO,No,No,No,Yes,No,Yes,19300,0,130700,150000,0,0,0,"$1,167.36",10831,,Lakehurst Ct,10831 Lakehurst Ct,"10831 Lakehurst Ct, Cincinnati, OH 45242, USA",-84.34452,39.262001,130000,2009,6,10831,
35,603-0018-0086-00,1201 Shakertown Ct,1392,555,1978,05-19-2009,"$135,000",5,2,3,0,317215.0,AF - Affidavit (EX),1,0.056,"$3,955.77",55.899522,SYCAMORE CSD,60335 - MONTGOMERY MEADOWS LANDO,YES(10),No,No,No,No,Yes,25000,0,192920,217920,0,0,0,"$1,978.80",1201,,Shakertown Ct,1201 Shakertown Ct,"1201 Shakertown Ct, Cincinnati, OH 45242, USA",-84.3463556,39.251585,135000,2009,5,1201,
36,612-0070-0045-00,4540 Victor Ave,1440,510,1953,06-15-2009,"$164,500",6,4,2,0,187075.0,WD - Warranty Deed (Conv),1,0.159,"$3,908.78",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,No,No,Yes,No,Yes,81400,0,181300,262700,0,0,0,"$1,955.90",4540,,Victor Ave,4540 Victor Ave,"4540 Victor Ave, Blue Ash, OH 45242, USA",-84.3841738,39.2287652,164500,2009,6,4540,
37,612-0070-0058-00,4474 Victor Ave,1184,510,1952,06-03-2009,"$144,500",6,4,2,0,325388.0,WD - Warranty Deed (Conv),1,0.138,"$4,503.51",47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,No,No,Yes,No,Yes,75600,0,226900,302500,0,0,0,"$2,254.78",4474,,Victor Ave,4474 Victor Ave,"4474 Victor Ave, Blue Ash, OH 45242, USA",-84.38650369999999,39.228928,144500,2009,6,4474,
38,612-0100-0298-00,3592 Lobelia Dr,1320,510,1959,05-29-2009,"$168,000",7,3,2,0,101402.0,WD - Warranty Deed (Conv),1,0.465,"$3,478.46",47.604103,SYCAMORE CSD,61205 - BLUE ASH 05,No,No,No,Yes,No,Yes,53990,0,179770,233760,0,0,0,"$1,740.74",3592,,Lobelia Dr,3592 Lobelia Dr,"3592 Lobelia Dr, Blue Ash, OH 45241, USA",-84.4102699,39.2335098,168000,2009,5,3592,
39,612-0111-0081-00,97 Carpenters Ridge,1460,555,1981,06-03-2009,"$245,000",6,3,2,2,22907.0,WD - Warranty Deed (Conv),1,0.093,"$5,739.14",47.604103,SYCAMORE CSD,61244 - CARPENTERS RUN LANDO,No,No,Yes,Yes,No,Yes,84400,0,328000,412400,0,0,0,"$2,870.78",97,,Carpenters Ridge,97 Carpenters Ridge,"97 Carpenters Ridge, Cincinnati, OH 45241, USA",-84.41062699999999,39.241772,245000,2009,6,97,
40,612-0140-0445-00,10442 Hickory Point Dr,1387,555,1983,06-10-2009,"$195,000",6,3,3,0,350864.0,AF - Affidavit (EX),1,0.053,"$3,784.98",47.604103,SYCAMORE CSD,61227 - HICKORY RIDGE LANDO,No,No,No,Yes,No,Yes,40500,0,213910,254410,0,0,0,"$1,893.70",10442,,Hickory Point Dr,10442 Hickory Point Dr,"10442 Hickory Point Dr, Cincinnati, OH 45242, USA",-84.37136009999999,39.2511835,195000,2009,6,10442,
41,612-0180-0123-00,10755 Fallsington Ct,1249,555,1984,05-28-2009,"$150,000",6,3,1,2,276830.0,SE - Survivorship Deed (EX),2,0.026,"$3,360.64",47.604103,SYCAMORE CSD,61236 - SYCAMORE VILLAGE LANDO,No,No,No,Yes,No,Yes,30000,0,195890,225890,0,0,0,"$1,681.53",10755,,Fallsington Ct,10755 Fallsington Ct,"10755 Fallsington Ct, Cincinnati, OH 45242, USA",-84.360726,39.257028,150000,2009,5,10755,
42,612-0180-0188-00,10797 Fallsington Ct,1368,555,1984,06-03-2009,"$172,000",6,3,2,2,,WE - Warranty Deed (EX),1,0.046,"$3,316.48",47.604103,SYCAMORE CSD,61236 - SYCAMORE VILLAGE LANDO,No,No,No,Yes,No,Yes,30000,0,192910,222910,0,0,0,"$1,659.45",10797,,Fallsington Ct,10797 Fallsington Ct,"10797 Fallsington Ct, Cincinnati, OH 45242, USA",-84.3607755,39.2572216,172000,2009,6,10797,
43,620-0070-0125-00,9605 Symbola Dr,1392,510,1957,06-15-2009,"$162,000",7,3,1,0,23511.0,WD - Warranty Deed (Conv),1,0.461,"$4,599.93",60.666397,LOVELAND CSD,62007 - SYMMES 07,No,No,No,Yes,No,Yes,38000,0,204370,242370,0,0,0,"$2,307.53",9605,,Symbola Dr,9605 Symbola Dr,"9605 Symbola Dr, Loveland, OH 45140, USA",-84.29483840000002,39.27896580000001,162000,2009,6,9605,
44,620-0180-0107-00,9329 Arnold Ln,1346,510,1957,04-09-2009,"$191,000",6,3,3,0,211862.0,WD - Warranty Deed (Conv),1,1.175,"$6,805.90",60.666397,LOVELAND CSD,62020 - SYMMES 20,No,No,No,Yes,No,Yes,95480,0,262310,357790,0,0,0,"$3,413.54",9329,,Arnold Ln,9329 Arnold Ln,"9329 Arnold Ln, Loveland, OH 45140, USA",-84.3067617,39.2653955,191000,2009,4,9329,
45,620-0190-0472-00,9162 Dominion Cr,1232,550,1986,05-06-2009,"$106,500",6,3,2,1,237813.0,WE - Warranty Deed (EX),1,0.0,"$3,284.62",53.799505,SYCAMORE CSD,62013 - SYCAMORE STATION CONDO,No,No,No,Yes,No,Yes,24700,0,169870,194570,0,0,0,"$1,645.33",9162,,Dominion Cr,9162 Dominion Cr,"9162 Dominion Cir, Cincinnati, OH 45249, USA",-84.30824,39.2877406,106500,2009,5,9162,
46,620-0190-0685-00,12051 102 Carrington Ln,1450,550,1995,06-18-2009,"$112,500",6,2,2,0,298913.0,WD - Warranty Deed (Conv),1,0.0,"$3,298.36",53.799505,SYCAMORE CSD,62011 - CARRINGTON CROSSING CONDO-620,YES(13),No,No,Yes,No,Yes,20400,0,174600,195000,0,0,0,"$1,652.20",12051,102,Carrington Ln,12051 Carrington Ln 102,"12051 Carrington Ln Unit 102, Loveland, OH 45140, USA",-84.2990987,39.288627,112500,2009,6,12051,
47,620-0204-0097-00,11728 Gable Glen Ln,1336,550,1987,05-07-2009,"$180,000",5,2,3,0,176855.0,WD - Warranty Deed (Conv),1,0.0,"$4,611.62",53.799505,SYCAMORE CSD,62012 - SYCAMORE GLEN CONDO,No,No,No,Yes,No,Yes,36000,0,237110,273110,0,0,0,"$2,308.83",11728,,Gable Glen Ln,11728 Gable Glen Ln,"11728 Gable Glen Ln, Cincinnati, OH 45249, USA",-84.31875099999999,39.284205,180000,2009,5,11728,
48,621-0003-0003-00,789 Brown St,1429,510,1924,04-24-2009,"$123,000",6,2,2,0,168798.0,SV - Survivorship Deed (Conv),2,0.173,"$4,182.58",60.879881,LOVELAND CSD,62102 - LOVELAND 02,No,No,No,No,No,No,47000,0,166010,213010,0,0,0,$0.00,789,,Brown St,789 Brown St,"789 Brown St, Loveland, OH 45140, USA",-84.2702441,39.2695101,123000,2009,4,789,
49,621-0006-0015-00,720 W Main St,1314,510,1993,06-09-2009,"$118,000",7,3,2,0,23213.0,WD - Warranty Deed (Conv),1,0.494,"$3,750.78",60.879881,LOVELAND CSD,62102 - LOVELAND 02,No,No,No,Yes,No,No,47000,0,150650,197650,0,0,0,"$1,875.39",720,,W Main St,720 W Main St,"720 W Main St, Loveland, OH 45140, USA",-84.27053339999999,39.26819649999999,118000,2009,6,720,
50,621-0006-0245-00,1201 W Loveland Ave,1479,510,1951,06-05-2009,"$158,500",7,4,1,0,23114.0,WD - Warranty Deed (Conv),1,0.743,"$4,958.76",60.879881,LOVELAND CSD,62109 - LOVELAND 09,No,No,No,Yes,No,No,82170,0,179150,261320,0,0,0,"$2,479.38",1201,,W Loveland Ave,1201 W Loveland Ave,"1201 W Loveland Ave, Loveland, OH 45140, USA",-84.2747278,39.2709032,158500,2009,6,1201,
51,621-0007-0049-00,4 Iroquois Dr,1260,510,1958,05-14-2009,"$110,000",5,3,1,0,22134.0,WD - Warranty Deed (Conv),1,0.304,"$3,280.70",60.879881,LOVELAND CSD,62109 - LOVELAND 09,No,No,No,Yes,No,No,63910,0,108970,172880,0,0,0,"$1,640.35",4,,Iroquois Dr,4 Iroquois Dr,"4 Iroquois Dr, Loveland, OH 45140, USA",-84.2778127,39.264099,110000,2009,5,4,
52,621-0007-0076-00,1012 Sunrise Dr,975,510,1959,06-03-2009,"$100,000",5,3,1,0,343788.0,WD - Warranty Deed (Conv),1,0.232,"$2,789.48",60.879881,LOVELAND CSD,62109 - LOVELAND 09,No,No,No,Yes,No,No,54780,0,92230,147010,0,0,0,$0.00,1012,,Sunrise Dr,1012 Sunrise Dr,"1012 Sunrise Dr, Loveland, OH 45140, USA",-84.2732881,39.2670716,100000,2009,6,1012,
53,621-0009-0056-00,912 Marbea Dr,936,510,1962,04-30-2009,"$115,000",5,3,1,0,21523.0,WD - Warranty Deed (Conv),1,0.165,"$2,871.80",60.879881,LOVELAND CSD,62109 - LOVELAND 09,No,No,No,Yes,No,No,47810,0,103340,151150,0,0,0,"$1,435.90",912,,Marbea Dr,912 Marbea Dr,"912 Marbea Dr, Loveland, OH 45140, USA",-84.27986369999999,39.2594837,115000,2009,4,912,
54,621-0014-0025-00,2081 Stratford Ct,1220,550,1985,04-15-2009,"$115,000",5,2,1,2,51603.0,WD - Warranty Deed (Conv),1,0.0,"$3,621.32",60.879881,LOVELAND CSD,62105 - HIDDEN CREEK CONDO,No,No,No,Yes,No,No,20000,0,170780,190780,0,0,0,"$1,810.66",2081,,Stratford Ct,2081 Stratford Ct,"2081 Stratford Ct, Loveland, OH 45140, USA",-84.3030002,39.2750108,115000,2009,4,2081,
55,521-0002-0084-00,411 Cornell Ave,1197,510,1948,06-23-2010,"$149,000",5,3,2,0,155082.0,WD - Warranty Deed (Conv),1,0.226,"$6,511.98",75.21388,MARIEMONT CSD,52102 - TERRACE PARK 02,No,No,No,Yes,No,Yes,91160,0,183740,274900,0,0,0,"$3,257.14",411,,Cornell Ave,411 Cornell Ave,"411 Cornell Ave, Terrace Park, OH 45174, USA",-84.3137912,39.161593,149000,2010,6,411,
56,521-0003-0322-00,407 Amherst Ave,1472,510,1926,04-27-2010,"$295,000",7,3,2,0,324955.0,WD - Warranty Deed (Conv),1,0.124,"$10,659.72",75.21388,MARIEMONT CSD,52103 - TERRACE PARK 03,YES(15),No,No,No,No,Yes,77200,0,357800,435000,0,0,0,$834.79,407,,Amherst Ave,407 Amherst Ave,"407 Amherst Ave, Terrace Park, OH 45174, USA",-84.30559000000001,39.1612941,295000,2010,4,407,
57,521-0003-0512-00,625 Miami Ave,1342,510,1925,06-02-2010,"$265,000",6,2,2,1,264699.0,WD - Warranty Deed (Conv),1,0.219,"$8,848.06",75.21388,MARIEMONT CSD,52103 - TERRACE PARK 03,No,No,No,Yes,No,Yes,203270,0,170030,373300,0,0,0,"$4,425.18",625,,Miami Ave,625 Miami Ave,"625 Miami Ave, Terrace Park, OH 45174, USA",-84.30238320000001,39.1594361,265000,2010,6,625,
