,parcel_number,address,finsqft,use,year_built,transfer_date,amount,total_rooms,bedrooms,full_baths,half_baths,conveyance_number,deed_type,num_parcels_sold,acreage,annual_tax,effective_tax_rate,school_district,appraisal_area,board_of_revision,rental_registration,homestead,owner_occupancy_credit,special_assessments,market_land_value,market_improvement_value,market_total_value,abated_value,taxes_paid,st_num,apt_num,street,formatted_address,longitude,latitude,year,month,city,geometry,market_land_value_num,age_of_house
10,525-0001-0278-00,7107 Thomas Dr,1239,510,1952,2009-04-13,110000,6,3,2,0,6415.0,WD - Warranty Deed (Conv),1,0.212,7200.94,65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,Yes,130150,224330,354480,0,7200.94,7107,,Thomas Dr,"7107 Thomas Dr, Cincinnati, OH 45243, USA",-84.3575116,39.1918243,2009,4,Cincinnati,,130150.0,72
11,525-0001-0328-00,7286 Jethve Ln,1406,510,1953,2009-06-22,190000,5,3,1,0,97263.0,WD - Warranty Deed (Conv),1,0.216,6612.96,65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,Yes,133630,192070,325700,0,3308.22,7286,,Jethve Ln,"7286 Jethve Ln, Cincinnati, OH 45243, USA",-84.3592367,39.1975764,2009,6,Cincinnati,,133630.0,71
12,525-0003-0072-00,7101 Maple Ave,936,510,1924,2009-04-03,150000,4,2,1,0,64327.0,WD - Warranty Deed (Conv),1,0.161,4779.62,65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,Yes,Yes,Yes,112520,149020,261540,0,2393.29,7101,,Maple Ave,"7101 Maple Ave, Cincinnati, OH 45243, USA",-84.36478149999999,39.1891793,2009,4,Cincinnati,,112520.0,100
13,525-0003-0379-00,7421 Euclid Ave,1159,510,1940,2009-06-12,195000,5,2,2,0,23446.0,WD - Warranty Deed (Conv),1,0.159,6454.12,65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,Yes,113120,204730,317850,0,3228.8,7421,,Euclid Ave,"7421 Euclid Ave, Cincinnati, OH 45243, USA",-84.3656768,39.1910591,2009,6,Cincinnati,,113120.0,84
14,525-0007-0045-00,7228 Osceola Dr,1258,510,1952,2009-05-08,124500,5,2,1,0,21874.0,WD - Warranty Deed (Conv),1,0.154,5610.11,65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,No,Yes,113680,152780,266460,0,2809.93,7228,,Osceola Dr,"7228 Osceola Dr, Cincinnati, OH 45243, USA",-84.3537736,39.1926151,2009,5,Cincinnati,,113680.0,72
15,525-0007-0061-00,7300 Osceola Dr,1232,510,1946,2009-05-13,135000,8,5,1,1,97974.0,QE - Quit Claim Deed (EX),1,0.167,5169.09,65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,Yes,113680,140530,254210,0,2589.42,7300,,Osceola Dr,"7300 Osceola Dr, Cincinnati, OH 45243, USA",-84.35356139999999,39.1947617,2009,5,Cincinnati,,113680.0,78
16,525-0007-0295-00,7245 Longfield Dr,1299,510,1958,2009-04-14,200000,6,3,2,1,301955.0,WD - Warranty Deed (Conv),1,0.221,6240.05,65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,Yes,131430,175570,307000,0,3124.9,7245,,Longfield Dr,"7245 Longfield Dr, Cincinnati, OH 45243, USA",-84.3528288,39.1954442,2009,4,Cincinnati,,131430.0,66
17,525-0009-0124-00,7341 N Mingo Ln,1155,510,1955,2009-04-07,175000,6,3,1,1,20647.0,WD - Warranty Deed (Conv),1,0.258,5947.94,65.284164,MADEIRA CSD,52502 - MADEIRA 02,No,No,No,Yes,Yes,146250,146490,292740,0,2977.45,7341,,N Mingo Ln,"7341 N Mingo Ln, Cincinnati, OH 45243, USA",-84.3666296,39.1995938,2009,4,Cincinnati,,146250.0,69
18,525-0010-0030-00,7808 Tances Dr,1066,510,1952,2009-04-27,172000,5,3,1,1,241549.0,TR - Trustees Deed (Conv),1,0.252,5553.06,65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,Yes,128460,144820,273280,0,2780.01,7808,,Tances Dr,"7808 Tances Dr, Cincinnati, OH 45243, USA",-84.35984770000002,39.2007679,2009,4,Cincinnati,,128460.0,72
19,525-0012-0081-00,7902 Greenbriar Ln,1258,510,1954,2009-05-14,164500,6,3,1,0,336756.0,WE - Warranty Deed (EX),1,0.138,5499.14,65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,Yes,104400,166390,270790,0,2751.31,7902,,Greenbriar Ln,"7902 Greenbriar Ln, Cincinnati, OH 45243, USA",-84.3577272,39.2022707,2009,5,Cincinnati,,104400.0,70
20,525-0012-0091-00,7819 Greenbriar Ln,1258,510,1954,2009-06-16,171500,6,3,1,0,23543.0,WD - Warranty Deed (Conv),1,0.137,5366.92,65.284164,MADEIRA CSD,52501 - MADEIRA 01,YES(24),No,No,Yes,Yes,104400,159710,264110,0,2686.94,7819,,Greenbriar Ln,"7819 Greenbriar Ln, Cincinnati, OH 45243, USA",-84.3586545,39.2019305,2009,6,Cincinnati,,104400.0,70
21,525-0016-0118-00,6513 Apache Cr,1363,510,1961,2009-04-27,220000,6,3,2,0,304955.0,QE - Quit Claim Deed (EX),1,0.276,7203.26,65.284164,MADEIRA CSD,52515 - MADEIRA 15,No,No,No,Yes,Yes,135000,219760,354760,0,3603.37,6513,,Apache Cr,"6513 Apache Cir, Cincinnati, OH 45243, USA",-84.37923649999999,39.1839644,2009,4,Cincinnati,,135000.0,63
22,525-0022-0045-00,6265 Vistaridge Ln,1489,510,1958,2009-04-10,190000,6,3,3,0,194207.0,WD - Warranty Deed (Conv),1,0.53,7963.44,65.284164,MADEIRA CSD,52505 - MADEIRA 05,YES(09),No,No,Yes,Yes,115880,276170,392050,0,3985.2,6265,,Vistaridge Ln,"6265 Vistaridge Ln, Cincinnati, OH 45227, USA",-84.3840403,39.1652803,2009,4,Cincinnati,,115880.0,66
23,525-0024-0031-00,5709 Kenwood Rd,1152,510,1911,2009-06-29,123000,5,2,1,1,257405.0,WD - Warranty Deed (Conv),1,0.607,5195.61,65.284164,MADEIRA CSD,52503 - MADEIRA 03,No,No,No,Yes,Yes,174970,80030,255000,0,2602.68,5709,,Kenwood Rd,"5709 Kenwood Rd, Cincinnati, OH 45243, USA",-84.3865448,39.1707885,2009,6,Cincinnati,,174970.0,113
24,525-0024-0068-00,6271 Lakota Dr,988,510,1968,2009-04-01,141000,5,2,2,0,310691.0,SE - Survivorship Deed (EX),1,0.348,6093.46,65.284164,MADEIRA CSD,52503 - MADEIRA 03,No,No,No,Yes,Yes,110480,189420,299900,0,3050.21,6271,,Lakota Dr,"6271 Lakota Dr, Cincinnati, OH 45243, USA",-84.385272,39.1742513,2009,4,Cincinnati,,110480.0,56
25,527-0030-0076-00,4202 Grove Ave,1119,510,1940,2009-05-28,110000,6,3,2,1,329068.0,WD - Warranty Deed (Conv),1,0.108,5158.36,71.219499,MARIEMONT CSD,52703 - MARIEMONT 03,YES(10),Yes,No,Yes,Yes,106390,125610,232000,0,2581.21,4202,,Grove Ave,"4202 Grove Ave, Cincinnati, OH 45227, USA",-84.37298,39.1496348,2009,5,Cincinnati,,106390.0,84
26,527-0030-0129-00,6977 Grace Ave,1427,510,1945,2009-06-15,158000,7,4,2,1,207397.0,WD - Warranty Deed (Conv),1,0.11,8123.18,71.219499,MARIEMONT CSD,52703 - MARIEMONT 03,No,No,No,Yes,Yes,119690,245780,365470,0,4063.62,6977,,Grace Ave,"6977 Grace Ave, Cincinnati, OH 45227, USA",-84.3725843,39.1491703,2009,6,Cincinnati,,119690.0,79
27,527-0040-0111-00,3720 Settle Rd,948,510,1938,2009-06-18,163000,5,2,1,0,325229.0,TR - Trustees Deed (Conv),1,0.134,6132.84,71.219499,MARIEMONT CSD,52705 - MARIEMONT 05,No,Yes,No,Yes,Yes,148330,127670,276000,0,3068.45,3720,,Settle Rd,"3720 Settle Rd, Cincinnati, OH 45227, USA",-84.3860632,39.1451651,2009,6,Cincinnati,,148330.0,86
28,527-0040-0156-00,3840 Belmont St,1275,510,1938,2009-06-25,162500,7,3,2,0,335435.0,WD - Warranty Deed (Conv),1,0.093,5640.17,71.219499,MARIEMONT CSD,52705 - MARIEMONT 05,No,No,No,Yes,Yes,116120,137520,253640,0,2824.15,3840,,Belmont St,"3840 Belmont St, Cincinnati, OH 45227, USA",-84.38674999999999,39.1473405,2009,6,Cincinnati,,116120.0,86
29,592-0001-0165-00,1401 West Ave,1450,510,1950,2009-06-24,189000,5,2,1,1,186748.0,WE - Warranty Deed (EX),1,0.372,5263.98,61.983774,WYOMING CSD,59201 - WYOMING 01,No,No,No,No,No,116000,148740,264740,0,2631.99,1401,,West Ave,"1401 West Ave, Cincinnati, OH 45215, USA",-84.4754441,39.2402585,2009,6,Cincinnati,,116000.0,74
30,592-0001-0197-00,143 Vermont Ave,1428,510,1953,2009-06-30,182500,6,2,1,0,144610.0,WD - Warranty Deed (Conv),1,0.22,5248.78,61.983774,WYOMING CSD,59201 - WYOMING 01,No,No,No,Yes,No,89540,184270,273810,0,2624.39,143,,Vermont Ave,"143 Vermont Ave, Wyoming, OH 45215, USA",-84.4778898,39.2399822,2009,6,Wyoming,,89540.0,71
31,592-0013-0202-00,352 Ridgeway Ave,1355,510,1948,2009-06-30,135000,7,4,2,1,52863.0,TR - Trustees Deed (Conv),1,0.167,4226.24,61.983774,WYOMING CSD,59218 - WYOMING 18,No,No,No,Yes,No,52000,168480,220480,0,2113.12,352,,Ridgeway Ave,"352 Ridgeway Ave, Wyoming, OH 45215, USA",-84.46597179999999,39.2190583,2009,6,Wyoming,,52000.0,76
32,600-0030-0201-00,10907 Brookgreen Ct,1082,550,1977,2009-04-06,100000,5,2,1,2,174627.0,QE - Quit Claim Deed (EX),1,0.0,3061.28,49.620025,SYCAMORE CSD,60009 - MONTGOMERY TOWNE CONDO,No,No,No,Yes,Yes,19300,178060,197360,0,3061.28,10907,,Brookgreen Ct,"10907 Brookgreen Ct, Cincinnati, OH 45242, USA",-84.343553,39.26294499999999,2009,4,Cincinnati,,19300.0,47
33,600-0030-0235-00,10803 Lakehurst Ct,1254,550,1977,2009-05-01,135000,5,2,2,1,21576.0,WD - Warranty Deed (Conv),1,0.0,2726.14,49.620025,SYCAMORE CSD,60009 - MONTGOMERY TOWNE CONDO,No,No,No,Yes,Yes,19300,156410,175710,0,1366.09,10803,,Lakehurst Ct,"10803 Lakehurst Ct, Cincinnati, OH 45242, USA",-84.34461519999999,39.2615306,2009,5,Cincinnati,,19300.0,47
34,600-0030-0270-00,10831 Lakehurst Ct,1254,550,1977,2009-06-12,130000,5,2,2,1,270330.0,WD - Warranty Deed (Conv),1,0.0,2330.03,49.620025,SYCAMORE CSD,60009 - MONTGOMERY TOWNE CONDO,No,No,No,Yes,Yes,19300,130700,150000,0,1167.36,10831,,Lakehurst Ct,"10831 Lakehurst Ct, Cincinnati, OH 45242, USA",-84.34452,39.262001,2009,6,Cincinnati,,19300.0,47
35,603-0018-0086-00,1201 Shakertown Ct,1392,555,1978,2009-05-19,135000,5,2,3,0,317215.0,AF - Affidavit (EX),1,0.056,3955.77,55.899522,SYCAMORE CSD,60335 - MONTGOMERY MEADOWS LANDO,YES(10),No,No,No,Yes,25000,192920,217920,0,1978.8,1201,,Shakertown Ct,"1201 Shakertown Ct, Cincinnati, OH 45242, USA",-84.3463556,39.251585,2009,5,Cincinnati,,25000.0,46
36,612-0070-0045-00,4540 Victor Ave,1440,510,1953,2009-06-15,164500,6,4,2,0,187075.0,WD - Warranty Deed (Conv),1,0.159,3908.78,47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,No,No,Yes,Yes,81400,181300,262700,0,1955.9,4540,,Victor Ave,"4540 Victor Ave, Blue Ash, OH 45242, USA",-84.3841738,39.2287652,2009,6,Blue Ash,,81400.0,71
37,612-0070-0058-00,4474 Victor Ave,1184,510,1952,2009-06-03,144500,6,4,2,0,325388.0,WD - Warranty Deed (Conv),1,0.138,4503.51,47.604103,SYCAMORE CSD,61203 - BLUE ASH 03,No,No,No,Yes,Yes,75600,226900,302500,0,2254.78,4474,,Victor Ave,"4474 Victor Ave, Blue Ash, OH 45242, USA",-84.38650369999999,39.228928,2009,6,Blue Ash,,75600.0,72
38,612-0100-0298-00,3592 Lobelia Dr,1320,510,1959,2009-05-29,168000,7,3,2,0,101402.0,WD - Warranty Deed (Conv),1,0.465,3478.46,47.604103,SYCAMORE CSD,61205 - BLUE ASH 05,No,No,No,Yes,Yes,53990,179770,233760,0,1740.74,3592,,Lobelia Dr,"3592 Lobelia Dr, Blue Ash, OH 45241, USA",-84.4102699,39.2335098,2009,5,Blue Ash,,53990.0,65
39,612-0111-0081-00,97 Carpenters Ridge,1460,555,1981,2009-06-03,245000,6,3,2,2,22907.0,WD - Warranty Deed (Conv),1,0.093,5739.14,47.604103,SYCAMORE CSD,61244 - CARPENTERS RUN LANDO,No,No,Yes,Yes,Yes,84400,328000,412400,0,2870.78,97,,Carpenters Ridge,"97 Carpenters Ridge, Cincinnati, OH 45241, USA",-84.41062699999999,39.241772,2009,6,Cincinnati,,84400.0,43
40,612-0140-0445-00,10442 Hickory Point Dr,1387,555,1983,2009-06-10,195000,6,3,3,0,350864.0,AF - Affidavit (EX),1,0.053,3784.98,47.604103,SYCAMORE CSD,61227 - HICKORY RIDGE LANDO,No,No,No,Yes,Yes,40500,213910,254410,0,1893.7,10442,,Hickory Point Dr,"10442 Hickory Point Dr, Cincinnati, OH 45242, USA",-84.37136009999999,39.2511835,2009,6,Cincinnati,,40500.0,41
41,612-0180-0123-00,10755 Fallsington Ct,1249,555,1984,2009-05-28,150000,6,3,1,2,276830.0,SE - Survivorship Deed (EX),2,0.026,3360.64,47.604103,SYCAMORE CSD,61236 - SYCAMORE VILLAGE LANDO,No,No,No,Yes,Yes,30000,195890,225890,0,1681.53,10755,,Fallsington Ct,"10755 Fallsington Ct, Cincinnati, OH 45242, USA",-84.360726,39.257028,2009,5,Cincinnati,,30000.0,40
42,612-0180-0188-00,10797 Fallsington Ct,1368,555,1984,2009-06-03,172000,6,3,2,2,,WE - Warranty Deed (EX),1,0.046,3316.48,47.604103,SYCAMORE CSD,61236 - SYCAMORE VILLAGE LANDO,No,No,No,Yes,Yes,30000,192910,222910,0,1659.45,10797,,Fallsington Ct,"10797 Fallsington Ct, Cincinnati, OH 45242, USA",-84.3607755,39.2572216,2009,6,Cincinnati,,30000.0,40
43,620-0070-0125-00,9605 Symbola Dr,1392,510,1957,2009-06-15,162000,7,3,1,0,23511.0,WD - Warranty Deed (Conv),1,0.461,4599.93,60.666397,LOVELAND CSD,62007 - SYMMES 07,No,No,No,Yes,Yes,38000,204370,242370,0,2307.53,9605,,Symbola Dr,"9605 Symbola Dr, Loveland, OH 45140, USA",-84.29483840000002,39.27896580000001,2009,6,Loveland,,38000.0,67
44,620-0180-0107-00,9329 Arnold Ln,1346,510,1957,2009-04-09,191000,6,3,3,0,211862.0,WD - Warranty Deed (Conv),1,1.175,6805.9,60.666397,LOVELAND CSD,62020 - SYMMES 20,No,No,No,Yes,Yes,95480,262310,357790,0,3413.54,9329,,Arnold Ln,"9329 Arnold Ln, Loveland, OH 45140, USA",-84.3067617,39.2653955,2009,4,Loveland,,95480.0,67
45,620-0190-0472-00,9162 Dominion Cr,1232,550,1986,2009-05-06,106500,6,3,2,1,237813.0,WE - Warranty Deed (EX),1,0.0,3284.62,53.799505,SYCAMORE CSD,62013 - SYCAMORE STATION CONDO,No,No,No,Yes,Yes,24700,169870,194570,0,1645.33,9162,,Dominion Cr,"9162 Dominion Cir, Cincinnati, OH 45249, USA",-84.30824,39.2877406,2009,5,Cincinnati,,24700.0,38
46,620-0190-0685-00,12051 102 Carrington Ln,1450,550,1995,2009-06-18,112500,6,2,2,0,298913.0,WD - Warranty Deed (Conv),1,0.0,3298.36,53.799505,SYCAMORE CSD,62011 - CARRINGTON CROSSING CONDO-620,YES(13),No,No,Yes,Yes,20400,174600,195000,0,1652.2,12051,102,Carrington Ln,"12051 Carrington Ln Unit 102, Loveland, OH 45140, USA",-84.2990987,39.288627,2009,6,Loveland,,20400.0,29
47,620-0204-0097-00,11728 Gable Glen Ln,1336,550,1987,2009-05-07,180000,5,2,3,0,176855.0,WD - Warranty Deed (Conv),1,0.0,4611.62,53.799505,SYCAMORE CSD,62012 - SYCAMORE GLEN CONDO,No,No,No,Yes,Yes,36000,237110,273110,0,2308.83,11728,,Gable Glen Ln,"11728 Gable Glen Ln, Cincinnati, OH 45249, USA",-84.31875099999999,39.284205,2009,5,Cincinnati,,36000.0,37
48,621-0003-0003-00,789 Brown St,1429,510,1924,2009-04-24,123000,6,2,2,0,168798.0,SV - Survivorship Deed (Conv),2,0.173,4182.58,60.879881,LOVELAND CSD,62102 - LOVELAND 02,No,No,No,No,No,47000,166010,213010,0,0.0,789,,Brown St,"789 Brown St, Loveland, OH 45140, USA",-84.2702441,39.2695101,2009,4,Loveland,,47000.0,100
49,621-0006-0015-00,720 W Main St,1314,510,1993,2009-06-09,118000,7,3,2,0,23213.0,WD - Warranty Deed (Conv),1,0.494,3750.78,60.879881,LOVELAND CSD,62102 - LOVELAND 02,No,No,No,Yes,No,47000,150650,197650,0,1875.39,720,,W Main St,"720 W Main St, Loveland, OH 45140, USA",-84.27053339999999,39.26819649999999,2009,6,Loveland,,47000.0,31
50,621-0006-0245-00,1201 W Loveland Ave,1479,510,1951,2009-06-05,158500,7,4,1,0,23114.0,WD - Warranty Deed (Conv),1,0.743,4958.76,60.879881,LOVELAND CSD,62109 - LOVELAND 09,No,No,No,Yes,No,82170,179150,261320,0,2479.38,1201,,W Loveland Ave,"1201 W Loveland Ave, Loveland, OH 45140, USA",-84.2747278,39.2709032,2009,6,Loveland,,82170.0,73
51,621-0007-0049-00,4 Iroquois Dr,1260,510,1958,2009-05-14,110000,5,3,1,0,22134.0,WD - Warranty Deed (Conv),1,0.304,3280.7,60.879881,LOVELAND CSD,62109 - LOVELAND 09,No,No,No,Yes,No,63910,108970,172880,0,1640.35,4,,Iroquois Dr,"4 Iroquois Dr, Loveland, OH 45140, USA",-84.2778127,39.264099,2009,5,Loveland,,63910.0,66
52,621-0007-0076-00,1012 Sunrise Dr,975,510,1959,2009-06-03,100000,5,3,1,0,343788.0,WD - Warranty Deed (Conv),1,0.232,2789.48,60.879881,LOVELAND CSD,62109 - LOVELAND 09,No,No,No,Yes,No,54780,92230,147010,0,0.0,1012,,Sunrise Dr,"1012 Sunrise Dr, Loveland, OH 45140, USA",-84.2732881,39.2670716,2009,6,Loveland,,54780.0,65
53,621-0009-0056-00,912 Marbea Dr,936,510,1962,2009-04-30,115000,5,3,1,0,21523.0,WD - Warranty Deed (Conv),1,0.165,2871.8,60.879881,LOVELAND CSD,62109 - LOVELAND 09,No,No,No,Yes,No,47810,103340,151150,0,1435.9,912,,Marbea Dr,"912 Marbea Dr, Loveland, OH 45140, USA",-84.27986369999999,39.2594837,2009,4,Loveland,,47810.0,62
54,621-0014-0025-00,2081 Stratford Ct,1220,550,1985,2009-04-15,115000,5,2,1,2,51603.0,WD - Warranty Deed (Conv),1,0.0,3621.32,60.879881,LOVELAND CSD,62105 - HIDDEN CREEK CONDO,No,No,No,Yes,No,20000,170780,190780,0,1810.66,2081,,Stratford Ct,"2081 Stratford Ct, Loveland, OH 45140, USA",-84.3030002,39.2750108,2009,4,Loveland,,20000.0,39
55,521-0002-0084-00,411 Cornell Ave,1197,510,1948,2010-06-23,149000,5,3,2,0,155082.0,WD - Warranty Deed (Conv),1,0.226,6511.98,75.21388,MARIEMONT CSD,52102 - TERRACE PARK 02,No,No,No,Yes,Yes,91160,183740,274900,0,3257.14,411,,Cornell Ave,"411 Cornell Ave, Terrace Park, OH 45174, USA",-84.3137912,39.161593,2010,6,Terrace Park,,91160.0,76
56,521-0003-0322-00,407 Amherst Ave,1472,510,1926,2010-04-27,295000,7,3,2,0,324955.0,WD - Warranty Deed (Conv),1,0.124,10659.72,75.21388,MARIEMONT CSD,52103 - TERRACE PARK 03,YES(15),No,No,No,Yes,77200,357800,435000,0,834.79,407,,Amherst Ave,"407 Amherst Ave, Terrace Park, OH 45174, USA",-84.30559000000001,39.1612941,2010,4,Terrace Park,,77200.0,98
57,521-0003-0512-00,625 Miami Ave,1342,510,1925,2010-06-02,265000,6,2,2,1,264699.0,WD - Warranty Deed (Conv),1,0.219,8848.06,75.21388,MARIEMONT CSD,52103 - TERRACE PARK 03,No,No,No,Yes,Yes,203270,170030,373300,0,4425.18,625,,Miami Ave,"625 Miami Ave, Terrace Park, OH 45174, USA",-84.30238320000001,39.1594361,2010,6,Terrace Park,,203270.0,99
58,523-0005-0033-00,3900 Southern Ave,961,510,1932,2010-04-01,136500,5,2,2,0,103343.0,WD - Warranty Deed (Conv),1,0.125,4168.06,76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,No,No,No,Yes,Yes,62770,112440,175210,0,2086.06,3900,,Southern Ave,"3900 Southern Ave, Cincinnati, OH 45227, USA",-84.39491939999999,39.1448562,2010,4,Cincinnati,,62770.0,92
59,523-0005-0080-00,3711 Germania Ave,992,510,1925,2010-06-07,132000,7,2,2,0,195196.0,WD - Warranty Deed (Conv),1,0.121,4868.17,76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,No,No,No,No,Yes,59000,132610,191610,0,2513.15,3711,,Germania Ave,"3711 Germania St, Cincinnati, OH 45227, USA",-84.3914301,39.1427027,2010,6,Cincinnati,,59000.0,99
60,523-0006-0308-00,3803 Carlton Ave,1274,510,1960,2010-05-18,155000,6,3,1,1,,SE - Survivorship Deed (EX),1,0.113,4817.93,76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,No,No,No,Yes,Yes,57530,144820,202350,0,2413.03,3803,,Carlton Ave,"3803 Carlton Ave, Cincinnati, OH 45227, USA",-84.3885975,39.1451601,2010,5,Cincinnati,,57530.0,64
61,523-0006-0401-00,3810 Camden Ave,1172,510,1935,2010-05-03,128500,7,3,1,0,108390.0,WD - Warranty Deed (Conv),1,0.113,4670.29,76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,No,No,No,Yes,Yes,57530,138390,195920,0,2339.21,3810,,Camden Ave,"3810 Camden Ave, Cincinnati, OH 45227, USA",-84.38728379999999,39.1459479,2010,5,Cincinnati,,57530.0,89
62,523-0007-0177-00,5768 Nightingale Ct,962,510,1963,2010-05-04,119000,6,3,1,0,192032.0,SE - Survivorship Deed (EX),1,0.3,4476.41,76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,No,No,Yes,Yes,Yes,79550,134850,214400,0,2242.27,5768,,Nightingale Ct,"5768 Nightingale Ct, Cincinnati, OH 45227, USA",-84.3971361,39.1435848,2010,5,Cincinnati,,79550.0,61
